HändelseID,Individ,Fynddatum,Undersökt,Undersökt datum,Anmält till,Datum mottaget,Skada på,Ange vad som skadats,Ras,Ange ras,"Skadedatum, från","Skadedatum, till",Osäkert skadedatum,Skadeorsak,Skadeorsak art,Ange skadeorsak,Betestyp,Kontrolltyp,Bedömning,KommunID,Fyndplats,Nord (original),Öst (original),Nord (UTM33/SWEREF99 TM),Öst (UTM33/SWEREF99 TM),Nord (RT90),Öst (RT90),Koordinatsystem,Platskvalitet,Godkänd datum,Visa publikt,Uppgifterna tillgängliga från,Låst,Låst datum,Senast sparad datum,Senast sparad av,Döda under 1 år Hona,Döda under 1 år Hane,Döda under 1 år Okänt,Döda 1 till 2 år Hona,Döda 1 till 2 år Hane,Döda 1 till 2 år Okänt,Döda över 2 år Hona,Döda över 2 år Hane,Döda över 2 år Okänt,Döda körren,Skadade under 1 år Hona,Skadade under 1 år Hane,Skadade under 1 år Okänt,Skadade 1 till 2 år Hona,Skadade 1 till 2 år Hane,Skadade 1 till 2 år Okänt,Skadade över 2 år Hona,Skadade över 2 år Hane,Skadade över 2 år Okänt,Skadade körren,Saknade under 1 år Hona,Saknade under 1 år Hane,Saknade under 1 år Okänt,Saknade 1 till 2 år Hona,Saknade 1 till 2 år Hane,Saknade 1 till 2 år Okänt,Saknade över 2 år Hona,Saknade över 2 år Hane,Saknade över 2 år Okänt,Saknade körren,Skadeomfattning antal (inte djur),Akutåtgärder vidtagna,Akutåtgärdtyp,Akutåtgärdtyp annat,Kommunenummer,Kommune,Fylkenummer,Fylke,Number of injured or killed or missing sheep,Year
V499778,,2020.07.02,Ja,2020.07.02,,,Får,,Köttraskorsningar,,2020.07.01,2020.07.02,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-1491,Hökerum,6409700,395565,6409700,395565,6413163,1347681,SWEREF99 TM,Mycket bra,2020.07.03,Nej,,Nej,,2020.08.31,Nelly Grönberg,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1491,Ulricehamn (S),2-14,Västra Götalands län (S),6,2020
V499783,,2020.07.03,Ja,2020.07.03,,,Får,,Köttraskorsningar,,2020.07.02,2020.07.03,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-1491,Hökerum,6409920,395434,6409920,395434,6413385,1347552,SWEREF99 TM,Mycket bra,2020.07.04,Nej,,Nej,,2020.08.31,Nelly Grönberg,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1491,Ulricehamn (S),2-14,Västra Götalands län (S),18,2020
V499807,,2020.07.04,Ja,2020.07.04,,,Får,,Annan,Blandras,2020.07.04,2020.07.04,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-0461,Kalvsätter,6558410,617999,6558410,617999,6559256,1571979,WGS84-UTM Zon 33,Mindre bra,2020.07.06,Nej,,Nej,,2020.07.06,Staffan Claesson,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0461,Gnesta (S),2-04,Södermanlands län (S),6,2020
V499841,UI405791 G92-16 +,2020.07.04,Ja,2020.07.04,,,Får,,Annan,Gotland och Pälsfår,2020.07.04,2020.07.04,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-0461,Kåretorp,6556481,617987,6556481,617987,6557327,1571943,SWEREF99 TM,Exakt,2020.07.06,Nej,,Nej,,2020.07.28,Lovisa Häggström,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Historiska data - ej angivet,,,2-0461,Gnesta (S),2-04,Södermanlands län (S),5,2020
V499924,,2020.07.09,Ja,2020.07.09,,,Får,,Annan,Blandras,2020.07.06,2020.07.09,Ja,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-2183,Knisselbo,6787621,1534331,6786225,577579,6787621,1534331,RT90,Mindre bra,2020.07.10,Nej,,Nej,,2020.07.16,Hans Nordin,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-2183,Bollnäs (S),2-21,Gävleborgs län (S),5,2020
V499996,,2020.07.10,Ja,2020.07.13,,,Får,,,,2020.07.04,2020.07.10,Nej,Fredat vilt,Varg,,Bete med rovdjursavvisande stängsel,Fältkontroll - LST,Dokumenterad,2-1766,Humletorp,6620882,1362044,6617463,407421,6620882,1362044,RT90,Mindre bra,2020.07.13,Nej,,Nej,,2020.07.13,Per Larsson,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1766,Sunne (S),2-17,Värmlands län (S),3,2020
V500107,,2020.07.16,Ja,2020.07.16,,,Får,,Gotlandsfår,,2020.07.16,2020.07.16,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-0461,Ellaboda,6558814,1581711,6558086,627733,6558814,1581711,RT90,Exakt,2020.07.17,Nej,,Nej,,2020.07.28,Lovisa Häggström,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0461,Gnesta (S),2-04,Södermanlands län (S),1,2020
V500261,,2020.07.21,Ja,2020.07.21,,,Får,,,,2020.07.18,2020.07.21,Ja,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-1383,Bringsgärde,6346216,344179,6346216,344179,6350257,1295514,SWEREF99 TM,Mycket bra,2020.07.21,Nej,,Nej,,2020.10.21,Martin Broberg,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1383,Varberg (S),2-13,Hallands län (S),17,2020
V500281,,2020.07.21,Ja,2020.07.21,,,Får,,Annan,Värmlandsfår,2020.07.20,2020.07.21,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-0617,,6354882,422910,6354882,422910,6357994,1374387,SWEREF99 TM,Mycket bra,2020.07.22,Nej,,Nej,,2020.08.26,Bo Adolfsson,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0617,Gnosjö (S),2-06,Jönköpings län (S),2,2020
V500294,UI413761 G124-19,2020.07.22,Ja,2020.07.22,,,Får,,,,2020.07.21,2020.07.22,Nej,Fredat vilt,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2404,Fäboden,7128363,720354,7128363,720354,7128041,1681416,SWEREF99 TM,Mycket bra,2020.07.23,Nej,,Nej,,2020.07.23,Ulf Eskilsson,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-2404,Vindeln (S),2-24,Västerbottens län (S),13,2020
