id_unique,pop_size_territories,both_disapp,population_analysis,territory_analysis,individual_analysis,fate,fate_detailed,wolf_id,sex,country,territory,territory_winter,Y_coordinate,X_coordinate,autumn,spring,slu_id,ruggedness,paved,gravel,snow_cover,human_density,municipality_name,municipality_id,moose_harvest_density,bear_density_shot,bear_density_live,night_light,elevation_mean,elevation_stdv,birth_territory,inbreeding,number_neighbour_terr
22,74,,1,1,1,disapp,,G8-14,M,S,Aamäck 4,Aamäkk_1617,6682566,1399129,2016,2017,G8-14,4.9731,0.22,0.97,82.27604167,6.37,Filipstad,1782,2.0252,0.0001,0.0517,0,345.8346258,67.68723911,Vis1,0.21495400000000001,2
23,29,,,,,alive,,G10-06,F,S,Acksjön,Acksjön_0506,6668938,1388035,2005,2006,G10-06,4.9704,0.32,1.03,83.7020202,7.14,Filipstad,1782,3.9433,0,0.0031,0.6183,271.7018785,70.49583233,Hlg1,0.23877000000000001,2
24,29,,,,,alive,,M-09-17,M,S,Acksjön,Acksjön_0506,6668938,1388035,2005,2006,M-09-17,4.9704,0.32,1.03,83.7020202,7.14,Filipstad,1782,3.9433,0,0.0031,0.6183,271.7018785,70.49583233,Fur,0.1875,2
25,31,,,,,alive,,G10-06,F,S,Acksjön,Acksjön_0607,6673006,1381506,2006,2007,G10-06,4.9365,0.33,1.07,75.81770833,7.03,Torsby,1737,3.834,0,0.013,0.8159,250.7434901,65.62187665,Hlg1,0.23877000000000001,3
26,31,,,,,alive,,M-09-17,M,S,Acksjön,Acksjön_0607,6673006,1381506,2006,2007,M-09-17,4.9365,0.33,1.07,75.81770833,7.03,Torsby,1737,3.834,0,0.013,0.8159,250.7434901,65.62187665,Fur,0.1875,3
27,37,,,,,alive,,G10-06,F,S,Acksjön,Acksjön_0708,6682914,1381921,2007,2008,G10-06,4.9567,0.28,0.98,77.01282051,6.12,Torsby,1737,3.396,0,0.0163,0.22,292.1012115,74.13713974,Hlg1,0.23877000000000001,4
28,37,,,,,alive,,M-09-17,M,S,Acksjön,Acksjön_0708,6682914,1381921,2007,2008,M-09-17,4.9567,0.28,0.98,77.01282051,6.12,Torsby,1737,3.396,0,0.0163,0.22,292.1012115,74.13713974,Fur,0.1875,4
29,39,,,,,alive,,G10-06,F,S,Acksjön,Acksjön_0809,6684066,1381563,2008,2009,G10-06,4.9952,0.28,0.97,84.36666667,5.9,Torsby,1737,3.0272,0.0002,0.0742,0.2069,296.7537783,75.01649301,Hlg1,0.23877000000000001,4
30,39,,,,,alive,,M-09-17,M,S,Acksjön,Acksjön_0809,6684066,1381563,2008,2009,M-09-17,4.9952,0.28,0.97,84.36666667,5.9,Torsby,1737,3.0272,0.0002,0.0742,0.2069,296.7537783,75.01649301,Fur,0.1875,4
31,49,,,,,alive,,G10-06,F,S,Acksjön,Acksjön_0910,6687622,1378556,2009,2010,G10-06,5.0621,0.27,0.94,81.77692308,5.33,Torsby,1737,3.3218,0.0002,0.0607,0.2004,307.8486049,73.36082368,Hlg1,0.23877000000000001,5
32,49,,,,,alive,,M-09-17,M,S,Acksjön,Acksjön_0910,6687622,1378556,2009,2010,M-09-17,5.0621,0.27,0.94,81.77692308,5.33,Torsby,1737,3.3218,0.0002,0.0607,0.2004,307.8486049,73.36082368,Fur,0.1875,5
33,58,,,,,alive,,G10-06,F,S,Acksjön,Acksjön_1011,6688619,1375024,2010,2011,G10-06,5.0874,0.28,0.92,80.41161616,5.14,Torsby,1737,3.6664,0.0002,0.0586,0.1984,307.8807004,74.25647817,Hlg1,0.23877000000000001,2
34,58,,,,,alive,,M-09-17,M,S,Acksjön,Acksjön_1011,6688619,1375024,2010,2011,M-09-17,5.0874,0.28,0.92,80.41161616,5.14,Torsby,1737,3.6664,0.0002,0.0586,0.1984,307.8807004,74.25647817,Fur,0.1875,2
35,60,,,,,alive,,G10-06,F,S,Acksjön,Acksjön_1112,6688707,1377086,2011,2012,G10-06,5.0354,0.27,0.92,80.39230769,5.08,Torsby,1737,3.503,0.0002,0.0605,0.1965,310.6326782,72.67413027,Hlg1,0.23877000000000001,5
36,60,,,,,alive,,M-09-17,M,S,Acksjön,Acksjön_1112,6688707,1377086,2011,2012,M-09-17,5.0354,0.27,0.92,80.39230769,5.08,Torsby,1737,3.503,0.0002,0.0605,0.1965,310.6326782,72.67413027,Fur,0.1875,5
37,64,,,,,alive,,G10-06,F,S,Acksjön,Acksjön_1213,6688162,1380151,2012,2013,G10-06,5.0251,0.25,0.95,82.57828283,5.04,Torsby,1737,3.4414,0.0001,0.0225,0.1941,314.5977417,74.45657583,Hlg1,0.23877000000000001,3
