kommun;kommun original;age;metric;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Elverum;0427 Elverum (-2019);All ages;Average Gross income;197500;209300;221000;235600;247500;250500;263000;263600;286100;306900;312800;323100;337800;351600;364500;376500;391300;395200;407200;419200;433800;0;0;0;0
Enebakk;3220 Enebakk;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enebakk;3028 Enebakk (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;476600;515500;520400;551800
Enebakk;0229 Enebakk (-2019);All ages;Average Gross income;226900;246900;253800;270600;286900;283100;295000;299900;328400;350900;351600;361600;376100;389500;405800;419000;437500;434900;444900;455700;467400;0;0;0;0
Engerdal;3425 Engerdal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;386700;418700;406500;415700
Engerdal;0434 Engerdal (1911-2019);All ages;Average Gross income;157700;167000;178400;188700;192300;199900;220500;218900;234300;256200;257500;272700;287900;296300;304400;312200;327900;335500;348000;372100;380500;0;0;0;0
Etne;4611 Etne;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467600;543300;524700;582300
Etne;1211 Etne (-2019);All ages;Average Gross income;192300;208000;231600;230400;239300;241400;258400;260100;304600;320400;322000;334800;357300;375200;385500;405700;415100;411600;418700;439700;462600;0;0;0;0
Etnedal;3450 Etnedal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407600;431900;439700;448700
Etnedal;0541 Etnedal (-2019);All ages;Average Gross income;163800;174400;186000;196600;215700;214800;244400;234100;255800;271400;267700;270200;279900;283200;286000;295900;336600;361600;379300;386800;396400;0;0;0;0
EvenesEvenássi;1853 Evenes - Evenássi;All ages;Average Gross income;169900;176400;189600;204400;214100;219200;236400;240400;267200;284600;291500;298800;313100;328000;336700;344000;357200;366600;372600;383500;393200;401300;426200;512600;498200
EvjeogHornnes;4219 Evje og Hornnes;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;428700;464000;455600;473500
EvjeogHornnes;0937 Evje og Hornnes (1960-2019);All ages;Average Gross income;187500;201200;208400;225800;234200;240300;262600;256800;279800;303400;309700;320800;329800;344200;355700;361700;374600;383600;384900;402400;419500;0;0;0;0
Færder;3811 Færder (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;507900;569300;568600;590500
Færder;3911 Færder;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Færder;0729 Færder (2018-2019);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;474700;496200;0;0;0;0
Fana;1249 Fana (-1971);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Farsund;4206 Farsund;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;454100;488300;503100;523700
Farsund;1003 Farsund (-2019);All ages;Average Gross income;203200;212200;223100;237300;239200;247000;278000;270300;299800;323700;327400;336900;354000;376000;387300;400200;408600;399400;405900;424100;445500;0;0;0;0
FauskeFuosko;1841 Fauske - Fuosko;All ages;Average Gross income;185500;203400;207200;220800;230100;231300;247000;253600;278400;302400;311800;320800;336700;350300;366800;378000;393200;397300;408700;424700;442500;456000;483400;500100;522600
Fedje;4633 Fedje;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449300;512900;493700;531100
Fedje;1265 Fedje (1948-2019);All ages;Average Gross income;196800;201300;222100;235600;232600;234700;256100;267200;293500;320000;334400;354400;377300;384700;388800;405300;405900;405900;417100;437400;472600;0;0;0;0
Fet;0227 Fet (-2019);All ages;Average Gross income;242200;265000;266800;347200;300500;345000;319400;311100;338300;365700;371800;376500;388900;409000;421600;435300;461400;457200;478400;500200;521400;0;0;0;0
Finnøy;1141 Finnøy (-2019);All ages;Average Gross income;197100;208700;218700;235400;236100;242500;273400;280000;310600;338700;338300;365700;391800;412100;436000;448300;455800;456800;463600;470900;493400;0;0;0;0
Fitjar;4615 Fitjar;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;465700;505300;511400;551400
Fitjar;1222 Fitjar (-2019);All ages;Average Gross income;199700;205600;220000;239100;255200;256900;289700;277400;326300;337400;357200;376300;379600;388000;404300;429000;437800;422800;424900;437400;458600;0;0;0;0
Fjære;0923 Fjære (-1970);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fjaler;4646 Fjaler;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;417800;562100;455800;506100
Fjaler;1429 Fjaler (-2019);All ages;Average Gross income;168100;180700;195800;211500;211100;218200;227100;228100;246700;271700;272500;278600;303400;319700;330600;346400;377800;370900;383800;396100;420900;0;0;0;0
Fjell;1246 Fjell (-2019);All ages;Average Gross income;225800;241200;252800;268500;282700;288200;322800;307700;341500;361200;367500;376300;401700;417200;435800;447700;463200;455100;464000;475000;490800;0;0;0;0
Fjord;1578 Fjord;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423400;453800;488300;507400
Flå;3039 Flå (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;474700;514500;513600;548700
Flå;0615 Flå (-2019);All ages;Average Gross income;190400;202500;204300;221000;225100;234000;292600;256500;290100;303200;313900;324800;338500;355800;364800;390100;382600;388000;405000;423200;450200;0;0;0;0
Flå;3320 Flå;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flakstad;1859 Flakstad;All ages;Average Gross income;195100;217200;219700;232000;225800;251000;257800;253700;273000;289500;289900;301800;326000;337100;337100;357400;387200;408500;427000;453300;474500;464700;480000;515300;543200
Flatanger;5049 Flatanger;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;416000;440700;479500;548200;505100;537700
Flatanger;1749 Flatanger (-2017);All ages;Average Gross income;165900;176800;191500;198200;202800;214800;226300;228100;253000;265400;267700;279700;296700;310100;323500;348900;376300;375600;409700;0;0;0;0;0;0
Flekkefjord;4207 Flekkefjord;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;458800;492800;502000;539500
Flekkefjord;1004 Flekkefjord (-2019);All ages;Average Gross income;198900;208600;218800;235400;247000;249300;269200;273900;303000;325800;350300;337400;356100;376300;389300;404900;416100;415500;422800;434300;459400;0;0;0;0
Flesberg;3050 Flesberg (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;489000;522200;530700;552900
Flesberg;0631 Flesberg (-2019);All ages;Average Gross income;203900;217100;249900;236400;242500;246700;269500;272800;294100;317200;324300;334600;353100;375300;391100;401000;417200;421600;426800;459700;475700;0;0;0;0
Flesberg;3334 Flesberg;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flora;1401 Flora (1964-2019);All ages;Average Gross income;226200;241100;246700;251200;266700;263300;286700;276000;306800;331400;344000;347100;368900;382000;400200;416500;439700;427100;436600;453900;482800;0;0;0;0
Folldal;3429 Folldal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;409900;450200;464400;491900
Folldal;0439 Folldal (1914-2019);All ages;Average Gross income;164900;180200;190900;202200;200800;212000;219900;230200;258700;273600;276200;288000;302800;321800;330300;342800;353800;356900;364200;390100;403400;0;0;0;0
Førde;1432 Førde (-2019);All ages;Average Gross income;220100;237100;244200;264400;271900;277800;312400;291600;320700;342400;349500;357700;378900;394800;411100;424600;454300;447200;458100;479400;495200;0;0;0;0
Foreigncountries,unspecified;2599 Foreign countries, unspecified;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Forsand;1129 Forsand (-2019);All ages;Average Gross income;214400;223400;230600;264900;245600;258700;301600;280700;321100;345500;341800;353900;375000;392300;413800;433800;465900;478700;435000;447500;481200;0;0;0;0
Fosnes;5048 Fosnes (2018-2019);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;368500;398800;0;0;0;0
Fosnes;1748 Fosnes (-2017);All ages;Average Gross income;163300;172900;178000;193600;194700;202700;216800;222500;239000;260900;263500;273300;291800;311100;313600;326900;332400;344800;363600;0;0;0;0;0;0
Fræna;1548 Fræna (-2019);All ages;Average Gross income;199800;208400;221000;238600;240400;244700;272500;270100;300400;321800;323400;338300;355300;372300;387000;400300;416200;422500;428000;444500;452600;0;0;0;0
Fredrikstad;3107 Fredrikstad;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fredrikstad;3004 Fredrikstad (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;448200;491900;497500;527500
Fredrikstad;0103 Fredrikstad (-1993);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fredrikstad;0106 Fredrikstad (1994-2019);All ages;Average Gross income;202500;218600;224600;240400;252400;257000;275700;269500;292300;312400;316800;323000;338400;353200;369800;377500;396600;400900;409900;427200;435100;0;0;0;0
Frei;1556 Frei (-2007);All ages;Average Gross income;203700;228400;231700;242300;249500;254700;270200;279300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frogn;3214 Frogn;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frogn;3022 Frogn (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;570400;626400;621000;656400
Frogn;0215 Frogn (-2019);All ages;Average Gross income;269900;285100;293100;313500;324500;336100;370600;344600;385200;415800;395700;414800;434700;448000;463700;479500;511900;510000;523800;538800;552600;0;0;0;0
Froland;4214 Froland;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;436300;471300;479200;515900
Froland;0919 Froland (-2019);All ages;Average Gross income;190100;201800;211000;222300;230100;238000;255100;256800;279300;309200;320000;320900;335800;348600;364000;372300;387700;393600;396500;406500;421400;0;0;0;0
Fron;0518 Fron (1966-1976);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frosta;5036 Frosta;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;387000;405200;425500;471400;471300;511100
Frosta;1717 Frosta (-2017);All ages;Average Gross income;174000;179900;195700;210600;209100;216000;230900;240100;262000;288800;285500;293000;308000;314800;332400;336500;349200;369400;374700;0;0;0;0;0;0
Frøya;5014 Frøya;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;523500;557800;593900;881100;567800;631200
Frøya;1620 Frøya (1964-2017);All ages;Average Gross income;183500;190300;201300;216800;224400;256100;255700;250700;284800;294400;294400;320500;358600;361400;386000;416000;482000;483800;491600;0;0;0;0;0;0
Fusa;1241 Fusa (-2019);All ages;Average Gross income;202200;216300;228500;248700;254900;265900;307100;280400;317800;342200;337500;349800;363800;380300;399800;423100;436100;452900;445200;462500;482100;0;0;0;0
Fyresdal;3823 Fyresdal (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;425900;511600;480000;514000
Fyresdal;4032 Fyresdal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fyresdal;0831 Fyresdal (-2019);All ages;Average Gross income;178900;188900;198900;213100;213900;215900;234000;243500;268100;287900;293300;302900;314300;330100;344200;354000;367800;371900;390000;410300;414900;0;0;0;0
GáivuotnaKåfjordKaivuono;5540 Gáivuotna - Kåfjord - Kaivuono;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GáivuotnaKåfjordKaivuono;5426 Gáivuotna - Kåfjord - Kaivuono (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;401900;422100;441400;474500
GáivuotnaKåfjordKaivuono;1940 Gáivuotna - Kåfjord - Kaivuono (1931-2019);All ages;Average Gross income;157800;169000;177400;185900;190700;199300;207600;216700;236400;254900;266100;276000;287600;293100;306100;324200;334100;351800;363900;380500;391100;0;0;0;0
Gamvik;5626 Gamvik;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gamvik;5439 Gamvik (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407000;428400;477600;509300
Gamvik;2023 Gamvik (1914-2019);All ages;Average Gross income;180500;191400;203500;217000;218400;225700;240400;244400;262800;284400;286500;300400;317800;316000;319000;334500;339100;377000;373500;394700;427800;0;0;0;0
Gaular;1430 Gaular (-2019);All ages;Average Gross income;188300;201900;212100;223300;229700;232100;247000;257400;282100;303900;311600;322700;337500;354000;369500;380400;402900;405300;416900;433300;452200;0;0;0;0
Gausdal;3441 Gausdal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;452900;475900;495200;525200
Gausdal;0522 Gausdal (1962-2019);All ages;Average Gross income;178200;191200;200500;229300;226100;229100;253800;244100;268500;288900;295100;305000;321400;335300;350400;363500;378800;390100;403900;415700;433900;0;0;0;0
Gildeskål;1838 Gildeskål;All ages;Average Gross income;167400;179500;189200;203200;215200;212400;227800;232000;256800;279500;290800;302100;319400;334500;366800;358500;377000;377000;394000;412400;431900;459300;472400;490600;511000
Giske;1532 Giske;All ages;Average Gross income;213800;243700;241100;249300;250400;250300;268000;280600;311100;344800;342000;356100;376900;391400;407400;435000;447700;446100;462900;479400;495200;503800;540200;570700;596400
Gjemnes;1557 Gjemnes;All ages;Average Gross income;181400;194900;204500;241300;239300;231000;257100;255300;288500;310500;317700;328400;345500;364600;390700;411200;401800;408000;416700;420100;435000;445000;466800;483700;506200
Gjerdrum;3230 Gjerdrum;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gjerdrum;3032 Gjerdrum (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;548200;599200;608800;628300
Gjerdrum;0234 Gjerdrum (-2019);All ages;Average Gross income;254500;274500;284000;298200;306400;307200;335200;324500;368100;390500;380600;394300;409700;431900;449000;467100;495100;504800;544000;529400;544000;0;0;0;0
Gjerstad;4211 Gjerstad;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;408200;431100;450600;478500
Gjerstad;0911 Gjerstad (-2019);All ages;Average Gross income;175700;182500;195000;211600;212400;222400;251100;245300;264900;282500;285800;289900;304300;321900;330000;348200;362500;352400;355900;380800;401800;0;0;0;0
Gjesdal;1122 Gjesdal;All ages;Average Gross income;219800;234800;240300;267000;266300;271500;306800;302500;335900;361800;364000;371000;391300;413000;437100;450800;454800;445900;446800;461900;479900;487600;523700;543500;575600
Gjøvik;3407 Gjøvik;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;446300;481700;494500;525700
Gjøvik;0502 Gjøvik (-2019);All ages;Average Gross income;196300;210800;221100;236400;245400;253900;270600;266900;291000;309900;313700;324000;339800;351700;362100;375200;395300;401500;410000;428600;435800;0;0;0;0
Gloppen;4650 Gloppen;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;446000;481400;496400;544100
Gloppen;1445 Gloppen (-2019);All ages;Average Gross income;189600;202900;211100;223600;225900;239100;253900;254500;277700;302600;307200;319400;335300;355100;365400;378800;400800;405800;443300;423600;438000;0;0;0;0
Gol;3041 Gol (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;464400;512800;515600;534700
Gol;0617 Gol (-2019);All ages;Average Gross income;203200;222500;224200;244700;248700;259900;300000;272500;303400;317600;312100;328500;342100;355800;370000;383500;398600;402900;419900;436600;455500;0;0;0;0
Gol;3324 Gol;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gran;3446 Gran;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467800;492000;514500;538900
Gran;0534 Gran (-2019);All ages;Average Gross income;195600;208600;217300;232500;237500;248000;263400;265700;292000;311800;316900;324600;341900;354500;369600;384000;402500;412500;418200;435600;450600;0;0;0;0
Grane;1825 Grane;All ages;Average Gross income;172200;182700;194700;208000;209300;222000;225900;232200;255200;276000;276100;291900;309400;328100;340200;355500;368600;381600;383200;391800;410300;411300;440600;453700;484100
Granvin;1234 Granvin (-2019);All ages;Average Gross income;180200;190600;194900;206800;212700;218100;228700;246200;264300;285400;297300;308700;325500;339600;356700;366200;380100;394800;393600;412600;436200;0;0;0;0
Gratangen;5414 Gratangen (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;430100;463300;502600;561400
Gratangen;1919 Gratangen (1926-2019);All ages;Average Gross income;159900;172500;183200;195600;197800;205100;225900;226300;248800;265000;276600;278800;291600;309000;325800;342200;355500;366600;378500;396100;412000;0;0;0;0
GratangenRivtták;5516 Gratangen - Rivtták;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Grimstad;4202 Grimstad;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;455300;493900;497100;528500
Grimstad;0904 Grimstad (-2019);All ages;Average Gross income;212100;220000;228500;252400;265100;274400;298800;295500;320800;331100;348300;334000;366500;364000;395100;416100;423400;454900;414600;429900;438700;0;0;0;0
Grong;5045 Grong;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;414600;429400;439700;470200;487100;505900
Grong;1742 Grong (-2017);All ages;Average Gross income;181900;184800;193500;209400;214300;227200;240200;247100;268500;290800;292700;303700;318100;322500;331500;335100;348100;364400;396100;0;0;0;0;0;0
Grue;3417 Grue;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;425600;490400;467800;512800
Grue;0423 Grue (-2019);All ages;Average Gross income;179400;188700;198300;214000;224300;225600;232600;236700;264200;279500;279800;289400;307600;322800;332400;342400;355900;362700;376900;386500;406700;0;0;0;0
Gulen;4635 Gulen;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;478500;534100;529800;566600
Gulen;1411 Gulen (-2019);All ages;Average Gross income;189500;200400;211400;225400;230000;229600;256600;254800;283600;313400;310500;336000;350200;364200;383600;390800;426300;412600;420000;438300;459000;0;0;0;0
GuovdageaidnuKautokeino;5612 Guovdageaidnu - Kautokeino;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GuovdageaidnuKautokeino;5430 Guovdageaidnu - Kautokeino (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;386500;407100;438200;461900
GuovdageaidnuKautokeino;2011 Guovdageaidnu - Kautokeino (-2019);All ages;Average Gross income;152300;161500;170000;182700;183900;191700;200100;208200;227900;242700;260200;263900;273200;283600;296500;305700;319900;331800;341300;355600;374800;0;0;0;0
Hå;1119 Hå;All ages;Average Gross income;212300;228300;236700;256800;268200;267500;292500;293900;331900;358700;353000;363700;378800;399600;417600;427800;442100;429300;438300;453500;468700;483800;518100;525700;558200
HábmerHamarøy;1875 Hábmer - Hamarøy;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;420400;441500;465300;500300
Hadsel;1866 Hadsel;All ages;Average Gross income;186800;193500;206300;219600;225700;231800;241000;252100;278900;293400;297500;320900;335800;344100;352700;371700;390200;394400;400100;421200;438500;453800;538200;498900;526100
Hægebostad;4226 Hægebostad;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;460500;510700;518000;559600
Hægebostad;1034 Hægebostad (-2019);All ages;Average Gross income;181000;191500;200700;219600;217300;233300;259700;260700;294100;314200;342700;340400;349600;370200;383500;395100;405000;408100;416900;436200;449600;0;0;0;0
Halden;3101 Halden;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Halden;3001 Halden (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423400;458700;473500;502800
Halden;0101 Halden (-2019);All ages;Average Gross income;192100;205400;218300;228200;242200;246200;258800;256400;277300;296300;300600;310000;325100;339700;350700;361300;380500;383300;397500;406200;417200;0;0;0;0
Halsa;1571 Halsa (-2019);All ages;Average Gross income;169000;196700;196300;207200;210400;229700;259700;230800;335900;289400;291100;301200;322000;333500;348100;366200;366800;358500;375100;403600;404600;0;0;0;0
Haltdalen;1645 Haltdalen (-1971);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hamar;3403 Hamar;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;482500;521300;529100;561000
Hamar;0401 Hamar (-1991);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hamar;0403 Hamar (1992-2019);All ages;Average Gross income;210100;228000;236100;249700;261600;268300;286100;279100;304400;326700;329700;339500;359100;371700;386800;400700;420700;425300;437200;447200;465600;0;0;0;0
HamarøyHábmer;1849 Hamarøy - Hábmer (-2019);All ages;Average Gross income;175900;186500;197000;207900;211800;213600;223000;233400;259600;282200;294000;309900;321100;331100;343100;356500;368600;389000;395800;412500;418600;0;0;0;0
Hammerfest;2001 Hammerfest (-1991);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hammerfest;2004 Hammerfest (1992-2019);All ages;Average Gross income;208600;219400;234800;247400;261000;269200;287500;307900;327700;348200;349500;357500;379300;393500;408600;425200;436700;442700;459700;467300;482000;0;0;0;0
HammerfestHámmerfeasta;5603 Hammerfest - Hámmerfeasta;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HammerfestHámmerfeasta;5406 Hammerfest - Hámmerfeasta (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;493300;522200;556300;582300
Haram;1534 Haram (-2019);All ages;Average Gross income;207500;220100;227700;250100;248500;255900;275000;284100;320300;335900;337300;344400;361100;383600;391200;405900;413500;414600;426200;445900;457500;0;0;0;0
Haram;1580 Haram;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hareid;1517 Hareid;All ages;Average Gross income;210300;213200;222800;239000;238000;250000;257100;271600;307100;329500;336100;345200;364700;371500;394500;407100;412000;401000;413000;425600;447600;453900;484100;494900;521200
Harstad;1901 Harstad (-2012);All ages;Average Gross income;203800;217300;224300;238600;252600;254100;267600;271500;296200;319700;325300;337400;354200;0;0;0;0;0;0;0;0;0;0;0;0
HarstadHárstták;5503 Harstad - Hárstták;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HarstadHárstták;5402 Harstad - Hárstták (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;471200;512100;523000;560700
HarstadHárstták;1903 Harstad - Hárstták (2013-2019);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;369000;381900;400800;413300;417800;431000;443700;459100;0;0;0;0
Hasvik;5616 Hasvik;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hasvik;5433 Hasvik (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;410500;438300;483300;503900
Hasvik;2015 Hasvik (-2019);All ages;Average Gross income;184000;189000;281000;229900;209800;217300;239500;247500;270100;286200;287900;311300;311500;319500;316500;325700;347000;367600;375800;383700;394400;0;0;0;0
Haugesund;1106 Haugesund;All ages;Average Gross income;215100;227500;235000;253500;265600;276100;310200;289700;323300;345000;349700;359700;377200;391600;409200;420000;431900;428100;436900;453800;471200;484700;528900;544000;577100
Hedrum;0727 Hedrum (-1987);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heim;5055 Heim;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449400;488900;498100;526500
Hemne;5011 Hemne (2018-2019);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;434000;452300;0;0;0;0
Hemne;1612 Hemne (-2017);All ages;Average Gross income;179500;195400;203100;217100;217100;224900;243400;243600;268600;290700;298500;315800;333900;351100;364200;368900;376300;391600;413800;0;0;0;0;0;0
Hemnes;1832 Hemnes;All ages;Average Gross income;170800;182200;191900;203200;211400;226500;226600;235800;259800;284100;286000;297900;310000;326500;339000;352000;371600;374600;382000;396000;410900;420400;451700;462100;493700
Hemsedal;3042 Hemsedal (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;511800;573600;597200;601800
Hemsedal;0618 Hemsedal (-2019);All ages;Average Gross income;202800;251100;251800;272600;306600;294900;395500;303400;331900;352800;336600;349100;352100;362500;383000;379300;395500;397400;421100;459300;497000;0;0;0;0
Hemsedal;3326 Hemsedal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Herefoss;0933 Herefoss (-1966);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
