kommun;kommun original;age;metric;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Arna;1250 Arna (1964-1971);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ås;3218 Ås;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ås;3021 Ås (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;479400;517900;529000;553500
Ås;0214 Ås (-2019);All ages;Average Gross income;241700;253600;263700;279400;286400;288200;307600;304500;329200;348900;346100;355200;371300;384000;405800;417200;427400;434300;453500;448100;461300;0;0;0;0
Åsane;1255 Åsane (-1971);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Åseral;4224 Åseral;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450000;508300;516900;546500
Åseral;1026 Åseral (-2019);All ages;Average Gross income;184200;192300;209300;220000;218900;229500;258100;255400;294300;318300;334500;336000;345400;355000;368200;374100;377700;379500;406900;415400;439900;0;0;0;0
Asker;3203 Asker;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asker;3025 Asker (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;602100;674800;662900;702400
Asker;0220 Asker (-2019);All ages;Average Gross income;302500;341200;329700;376100;370200;393200;447900;387500;432900;455900;447700;466400;487500;501900;529800;554700;590600;576600;596100;601400;632500;0;0;0;0
Askim;0124 Askim (-2019);All ages;Average Gross income;206400;219300;229000;240000;248300;251900;272000;264500;291400;311500;310300;322200;334500;347200;359300;371900;391400;393500;412700;416900;432100;0;0;0;0
Askøy;4627 Askøy;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;482800;519900;536900;571100
Askøy;1247 Askøy (-2019);All ages;Average Gross income;205500;217500;228200;242400;252000;261200;277500;289600;315300;342200;345900;358900;374800;395600;415100;426600;436700;441000;445900;455100;473400;0;0;0;0
Askvoll;4645 Askvoll;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467700;542600;524000;549400
Askvoll;1428 Askvoll (-2019);All ages;Average Gross income;180000;194600;209700;217500;215600;230800;246300;244600;264400;288800;297600;312100;328900;345400;358700;370300;402200;398200;410900;424400;447200;0;0;0;0
Åsnes;3418 Åsnes;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;414000;441700;461700;485100
Åsnes;0425 Åsnes (-2019);All ages;Average Gross income;179200;189300;198700;212000;215200;222800;234200;235100;257700;277400;278400;287600;301100;314300;327600;335200;349100;363900;379800;390700;406100;0;0;0;0
Audnedal;1027 Audnedal (1964-2019);All ages;Average Gross income;185100;196600;208400;219500;219800;231000;254700;258800;286300;310800;311600;321900;343800;354200;372600;376300;391300;393900;410700;416500;440300;0;0;0;0
Aukra;1547 Aukra;All ages;Average Gross income;201200;208700;216500;234400;242300;258300;265500;279700;310700;336200;340400;355200;368600;387900;407800;422100;440000;431900;430100;456600;463700;477100;505200;520400;551700
