Country,HändelseID,Fynddatum,Undersökt,Undersökt datum,Skada på,Ras,Ange ras,"Skadedatum, från","Skadedatum, till",Osäkert skadedatum,Kön,Alder,Antall,Tilstand,Antal döda under 1 år,Antal avlivade under 1 år,Antal skadade under 1 år,Antal saknade under 1 år,Antal döda 1 till 2 år,Antal avlivade 1 till 2 år,Antal skadade 1 till 2 år,Antal saknade 1 till 2 år,Antal döda över 2 år,Antal avlivade över 2 år,Antal skadade över 2 år,Antal saknade över 2 år,Skadeorsak,Betestyp,Kontrolltyp,Bedömning,KommunID,Fyndplats,Nord (UTM33/SWEREF99 TM),Öst (UTM33/SWEREF99 TM),Nord (RT90),Öst (RT90),Koordinatsystem,Platskvalitet,Godkänd datum,Låst,Låst datum,Senast sparad datum,Kommunenummer,Kommune,Fylkenummer,Fylke
Sweden,V472458,2016.10.29,Ja,2016.10.29,Jakthund,Annan,Jämthund,2016.10.29,2016.10.29,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Dokumenterad,2-1763,Öst Olsäter,6621600,416372,6624912,1371049,RT90,Mindre bra,2016.10.31,Ja,2017.12.18,2016.11.01,2-1763,Forshaga (S),2-17,Värmlands län (S)
Sweden,V472473,2016.10.29,Ja,2016.10.30,Jakthund,Annan,Schillerstövare,2016.10.29,2016.10.29,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Dokumenterad,2-1784,"N Lövnäs, Treskog",6638827,367741,6642739,1322605,RT90,Dålig,2016.10.31,Ja,2017.12.18,2016.11.01,2-1784,Arvika (S),2-17,Värmlands län (S)
Sweden,V472475,2016.10.29,Ja,2016.10.30,Jakthund,Annan,Gråhund,2016.10.29,2016.10.29,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Dokumenterad,2-2029,Väster om Olarsbodarna (Jerkersbodberget),6721811,481727,6724366,1437655,RT90,Exakt,2016.10.31,Ja,2017.12.18,2016.11.01,2-2029,Leksand (S),2-20,Dalarnas län (S)
Sweden,V472478,2016.10.15,Ja,2016.10.15,Jakthund,Annan,Gråhund,2016.10.15,2016.10.15,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Dokumenterad,2-1766,Erik-Bengtstorp,6644081,373935,6647920,1328866,RT90,Mycket bra,2016.11.01,Ja,2017.12.18,2016.11.01,2-1766,Sunne (S),2-17,Värmlands län (S)
Sweden,V472543,2016.11.10,Ja,2016.11.10,Jakthund,Annan,Drever,2016.11.10,2016.11.10,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Dokumenterad,2-1783,"Byn, öster om Ekshärad",6672444,418892,6675748,1374190,WGS84-UTM Zon 33,Mindre bra,2016.11.10,Ja,2017.12.18,2016.11.10,2-1783,Hagfors (S),2-17,Värmlands län (S)
Sweden,V472547,2016.11.07,Ja,2016.11.08,Jakthund,Annan,Finnstövare,2016.11.07,2016.11.07,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Dokumenterad,2-2401,Högåker,7069732,708230,7069555,1668548,RT90,Mycket bra,2016.11.08,Ja,2017.12.18,2016.11.11,2-2401,Nordmaling (S),2-24,Västerbottens län (S)
Sweden,V472618,2016.12.04,Ja,2016.12.04,Jakthund,Annan,Tax,2016.12.04,2016.12.04,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Dokumenterad,2-1783,Trögåsberget,6642370,417328,6645679,1372259,RT90,Mycket bra,2016.12.04,Ja,2017.12.18,2016.12.29,2-1783,Hagfors (S),2-17,Värmlands län (S)
Sweden,V472623,2016.12.04,Ja,2016.12.04,Jakthund,Annan,Plotthund,2016.12.04,2016.12.04,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Dokumenterad,2-2161,Backarvall - Skrottmyran,6865069,538372,6866973,1496088,RT90,Exakt,2016.12.05,Ja,2017.12.18,2016.12.05,2-2161,Ljusdal (S),2-21,Gävleborgs län (S)
Sweden,V472648,2016.12.09,Ja,2016.12.09,Jakthund,Annan,Finsk spets,2016.12.09,2016.12.09,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-2085,Hån / Nordhöjden,6674602,469334,6677290,1424680,RT90,Mycket bra,2016.12.10,Ja,2017.12.18,2016.12.12,2-2085,Ludvika (S),2-20,Dalarnas län (S)
Sweden,V472666,2007.09.15,Ja,2007.09.15,Annan hund,Annan,Jämte-Wachtel X,2007.09.15,2007.09.15,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1737,Böhönen,6713680,370959,6717590,1326740,RT90,Mindre bra,2007.09.15,Nej,,2016.12.14,2-1737,Torsby (S),2-17,Värmlands län (S)
Sweden,V472684,2016.12.17,Ja,2016.12.17,Vallhund,Annan,Border Collie,2016.12.17,2016.12.17,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Dokumenterad,2-1762,Bogerud Munkfors,6635945,419658,6639223,1374511,RT90,Exakt,2016.12.17,Ja,2017.12.18,2016.12.20,2-1762,Munkfors (S),2-17,Värmlands län (S)
