Kommun,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021
Eksjö,"173,559","178,465","175,970","175,762","178,782","184,036","190,869","198,264","206,112","213,133","219,151","224,412","228,867","233,431","240,665","245,498","250,199","253,659","258,096","257,282","256,336","260,400","267,945","272,936","280,243","287,007","290,170","291,103","294,237","298,177","300,532"
Tranås,"171,142","175,805","172,724","172,054","174,028","178,865","182,906","193,850","201,021","206,991","212,477","217,282","221,029","223,072","228,609","233,157","238,750","243,624","248,117","243,009","242,564","245,825","251,586","254,759","265,401","271,112","278,209","281,451","284,594","283,980","288,487"
KRONOBERGS LÄN,"179,450","182,454","179,497","180,330","182,987","189,859","194,959","204,038","213,383","218,978","223,521","227,821","231,178","236,584","241,809","246,688","250,931","253,280","256,630","253,206","253,976","259,064","264,529","268,580","276,758","284,223","288,402","291,295","293,096","296,200","299,301"
Uppvidinge,"167,970","172,408","168,632","169,497","173,944","179,294","184,994","195,231","206,373","211,901","215,828","219,988","223,209","228,523","231,329","234,243","242,720","245,098","244,161","244,108","244,183","244,273","249,934","255,068","262,547","269,710","278,162","282,661","282,908","288,806","291,352"
Lessebo,"174,918","177,874","176,252","177,364","180,312","187,966","193,926","202,937","213,049","217,256","219,827","225,129","228,334","231,151","236,346","240,001","241,553","242,172","246,636","238,162","239,177","242,223","246,851","243,466","248,004","257,902","260,977","262,878","264,622","267,270","269,818"
Tingsryd,"160,870","165,168","163,693","166,330","168,391","173,059","179,729","188,351","195,796","197,364","201,921","206,910","210,702","215,439","221,244","225,428","228,280","230,513","234,047","232,432","229,820","236,673","240,572","242,691","248,022","256,422","262,034","265,067","269,181","272,896","271,922"
Alvesta,"175,220","178,612","176,111","177,847","179,711","188,186","192,353","200,599","210,247","216,060","220,998","225,454","227,738","234,323","239,944","243,683","248,974","252,171","253,966","250,798","251,158","255,638","260,564","264,497","273,191","280,149","284,025","286,772","289,064","290,291","291,461"
Älmhult,"175,824","180,681","178,368","180,156","182,731","188,998","194,550","201,977","213,461","218,767","221,656","227,683","232,963","237,477","242,779","249,016","256,861","260,259","265,492","263,977","266,987","271,156","276,783","281,275","292,903","298,501","301,060","302,332","309,118","311,139","315,811"
Markaryd,"170,991","173,442","170,748","171,620","173,481","178,826","182,380","194,264","202,211","208,051","211,224","216,191","219,474","223,158","226,630","230,498","232,942","231,196","234,275","228,080","228,586","233,832","238,364","241,979","249,705","256,263","257,773","262,325","266,087","268,459","275,576"
Växjö,"189,117","191,465","188,388","187,556","190,511","196,696","201,608","211,066","220,071","225,213","230,780","234,583","237,044","242,801","248,542","253,839","258,087","260,323","264,901","261,903","263,025","268,468","274,439","280,320","288,230","295,951","299,303","302,833","303,411","305,974","308,556"
Ljungby,"180,507","182,454","180,203","181,987","184,636","191,815","198,007","205,788","214,659","221,470","225,623","229,547","234,381","240,176","245,853","250,271","253,029","255,715","257,901","252,926","252,291","258,053","263,229","266,853","275,665","282,166","288,335","289,873","291,776","296,067","298,598"
KALMAR LÄN,"177,184","180,976","177,945","178,224","180,653","186,419","190,997","199,680","207,782","213,229","217,180","221,700","225,702","230,529","233,683","237,330","241,375","243,899","248,526","246,019","246,283","250,664","257,833","262,081","270,549","276,543","281,782","283,829","286,250","290,539","294,177"
Högsby,"160,719","165,612","162,987","161,725","167,324","173,196","179,799","186,492","194,896","197,918","197,141","202,692","203,710","208,822","213,401","217,617","218,157","218,926","219,293","215,902","212,638","216,845","223,491","225,168","232,405","235,303","239,879","242,508","244,547","249,580","250,147"
Torsås,"150,599","153,941","157,201","159,403","160,575","164,696","172,090","179,854","189,699","195,252","201,656","205,084","210,401","215,204","219,716","224,330","226,591","229,138","231,287","227,654","227,580","231,411","234,696","241,585","248,779","251,760","259,968","261,772","263,439","271,474","273,577"
Mörbylånga,"174,012","176,692","175,828","176,639","178,808","184,151","188,787","197,966","206,733","213,982","220,477","224,664","228,201","235,674","240,024","244,260","247,636","251,351","257,990","258,539","258,611","264,097","271,286","275,854","285,722","290,869","295,394","298,867","301,774","307,922","310,254"
Hultsfred,"170,689","174,328","170,748","170,014","172,188","178,172","182,682","190,434","199,325","202,594","206,893","211,012","215,953","219,069","223,977","225,699","228,400","228,126","230,286","228,658","230,393","232,299","237,483","239,068","245,436","248,156","255,963","258,110","261,157","265,079","268,488"
Mönsterås,"181,111","183,931","180,062","180,330","184,342","192,224","195,846","205,356","213,812","220,272","224,902","229,313","233,034","238,275","241,193","245,140","249,091","254,939","256,986","253,467","253,597","256,716","261,101","264,776","274,510","279,732","284,844","285,002","288,548","291,733","294,912"
Emmaboda,"174,163","177,874","174,841","176,723","178,922","185,741","193,017","201,075","211,416","216,889","218,248","223,565","226,691","230,848","232,111","238,673","240,454","242,404","246,255","241,488","242,681","243,859","249,436","252,260","259,933","263,292","269,939","268,804","270,441","275,476","278,816"
Kalmar,"187,455","191,022","186,835","185,845","186,858","192,562","195,441","203,943","212,513","217,793","222,443","226,807","229,951","234,182","237,412","242,559","246,988","249,062","255,331","253,927","253,444","259,637","269,462","274,668","285,154","293,544","298,809","302,714","304,856","308,527","312,074"
Nybro,"174,767","179,351","177,098","178,056","181,262","186,883","191,656","199,985","208,381","212,476","215,859","218,791","222,377","224,512","228,589","232,807","235,708","236,492","238,065","232,763","232,644","237,209","243,389","247,000","252,999","257,518","261,977","264,967","268,391","272,292","275,916"
