Kommun,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021
Härryda,"210,415","213,626","210,825","211,862","215,418","224,178","229,683","238,637","249,477","257,232","262,100","266,088","270,744","277,025","281,570","287,175","294,007","296,725","303,877","305,767","308,332","317,570","326,457","333,650","346,076","354,555","361,913","366,435","369,221","374,703","379,677"
Partille,"209,811","212,148","209,837","210,404","212,771","220,410","225,201","235,312","243,438","249,840","255,080","259,954","263,423","270,335","275,148","279,224","285,388","288,124","293,059","292,482","294,913","303,815","312,004","318,131","331,447","339,239","345,960","348,730","350,787","355,634","359,733"
Öckerö,"186,700","189,249","186,412","190,584","194,838","202,331","208,602","220,032","229,784","235,806","238,730","246,727","251,681","257,515","262,881","270,117","274,916","278,257","284,910","281,624","281,069","292,202","297,760","305,754","316,201","326,097","331,954","333,676","335,966","338,819","341,476"
Stenungsund,"201,201","204,171","199,818","200,630","203,166","211,629","217,165","226,473","235,345","244,148","248,735","253,439","256,118","262,527","266,774","272,408","277,718","281,153","287,638","286,239","289,036","296,891","306,971","314,830","327,319","335,534","337,836","340,945","344,700","348,960","355,459"
Tjörn,"187,607","189,988","185,565","187,694","191,557","199,986","206,366","214,125","223,756","229,631","235,873","242,141","245,174","250,976","256,175","259,722","265,950","267,846","275,441","275,588","274,826","282,093","290,939","298,309","309,973","319,148","325,266","326,051","328,645","333,822","338,965"
Orust,"177,033","180,090","177,098","179,206","181,860","187,329","193,886","202,369","211,418","217,235","220,905","227,326","231,081","237,685","242,918","246,192","250,921","252,050","256,476","254,987","255,671","263,142","268,961","271,648","280,775","289,524","292,838","296,690","296,717","299,096","302,046"
Sotenäs,"172,501","177,135","175,546","178,247","180,344","187,571","192,308","200,802","208,456","211,751","215,660","223,320","226,968","232,236","237,895","242,486","246,372","249,289","257,272","256,046","256,911","261,541","271,371","279,032","290,829","298,155","300,793","303,224","306,719","309,607","310,583"
Munkedal,"170,236","175,067","173,994","172,935","173,871","178,546","182,343","193,016","201,121","206,084","206,294","212,097","218,458","224,016","226,332","229,901","231,282","231,800","234,738","233,585","233,465","245,406","250,717","254,131","267,472","274,875","278,094","279,306","281,038","284,637","290,008"
Tanum,"155,886","159,555","159,600","162,258","165,242","169,193","174,637","184,539","193,265","200,322","202,808","209,804","214,835","219,912","225,213","230,020","232,799","234,423","235,773","233,886","233,505","245,730","253,102","256,539","274,929","281,994","282,942","282,946","287,515","291,715","292,787"
Dals-Ed,"159,662","165,759","165,668","167,944","173,252","176,906","181,249","191,300","199,526","203,664","202,031","209,205","217,020","219,086","222,470","219,332","222,465","221,282","221,801","217,336","211,758","221,300","226,886","233,122","249,459","256,067","260,890","258,658","263,497","268,034","270,320"
Färgelanda,"171,444","176,101","174,982","177,580","180,538","187,413","192,352","204,044","213,187","217,209","215,319","220,512","225,239","227,479","230,204","231,666","231,198","231,530","236,252","232,798","231,472","238,500","244,436","244,740","256,459","261,564","269,726","271,732","272,379","277,907","276,855"
Ale,"201,654","205,205","201,229","201,025","203,343","210,652","216,264","224,903","232,793","239,039","242,362","249,083","253,657","258,720","263,965","266,334","272,010","273,651","280,378","279,659","280,423","286,920","295,311","300,585","313,631","321,993","327,594","329,991","334,167","337,984","340,963"
Lerum,"209,660","211,262","208,144","209,159","212,108","219,837","227,216","235,598","245,645","252,456","257,948","263,500","266,853","272,012","278,021","284,078","288,217","293,201","299,534","301,932","303,810","310,671","319,825","325,971","337,097","346,301","350,781","354,513","357,680","363,704","370,418"
Vårgårda,"169,782","175,510","174,135","176,746","179,944","184,711","192,276","202,212","213,431","222,166","229,089","233,159","238,599","244,056","246,671","250,093","252,293","254,587","259,512","257,955","258,691","264,086","269,050","275,138","284,806","291,708","297,293","299,948","301,734","310,482","314,537"
Bollebygd,0,0,0,"197,248","201,694","207,607","214,674","224,144","233,498","239,593","244,826","250,198","254,148","261,408","264,232","270,430","273,976","276,278","281,072","279,055","282,285","287,099","293,858","300,936","312,563","320,415","325,560","329,173","330,305","335,538","341,715"
Grästorp,"170,991","174,919","173,853","175,389","177,628","184,557","190,647","198,011","208,089","215,903","220,612","222,857","227,683","231,166","235,259","236,548","240,302","240,676","245,027","243,604","245,314","251,466","255,647","262,406","273,662","284,005","286,167","292,563","292,807","297,373","299,761"
Essunga,"163,136","165,759","165,668","167,729","168,796","173,284","180,809","190,951","199,311","207,553","210,116","214,659","219,717","224,963","228,312","232,669","238,776","240,158","243,243","241,950","241,083","244,589","253,068","255,016","264,988","272,140","272,484","273,857","275,820","280,400","286,868"
Karlsborg,"177,486","181,863","180,626","180,739","180,926","186,366","191,150","198,859","204,107","210,061","213,387","219,837","225,066","230,697","234,658","240,260","243,695","243,333","251,083","246,798","247,341","256,554","261,531","263,342","269,630","273,064","279,759","283,655","286,274","293,945","299,158"
Gullspång,"166,761","171,373","169,478","169,950","172,996","178,872","182,272","189,581","198,000","201,538","203,073","210,352","214,478","217,743","221,189","224,190","226,187","224,725","228,058","221,684","220,705","227,382","233,946","233,700","243,805","248,125","249,673","251,950","253,474","257,779","257,835"
Tranemo,"179,752","183,340","179,356","181,403","183,771","192,207","198,315","209,474","217,210","222,055","225,949","231,034","232,505","241,231","244,829","252,020","256,532","258,431","261,395","259,541","260,038","266,111","269,734","276,634","285,050","292,482","296,481","301,444","301,736","308,212","311,032"
Bengtsfors,"177,335","181,715","181,191","183,508","188,652","192,983","197,299","204,187","210,497","208,859","208,432","214,037","217,003","220,643","222,256","220,794","220,616","216,730","220,175","215,727","216,127","226,144","235,506","235,905","250,776","253,889","258,173","260,753","261,258","262,092","265,019"
Mellerud,"161,626","167,385","165,950","166,504","169,047","176,550","179,489","188,036","194,730","198,516","199,238","204,048","209,550","211,372","217,298","217,404","217,303","217,429","221,151","212,347","209,782","220,437","227,105","228,444","239,764","245,404","249,314","255,237","258,995","266,625","266,232"
Lilla Edet,"188,211","193,238","190,363","189,315","190,088","194,392","199,862","209,215","219,801","226,515","228,209","233,651","236,108","239,691","245,130","246,955","252,137","252,404","256,251","255,807","256,938","262,950","268,037","272,056","281,222","290,342","297,610","300,788","303,214","307,477","313,043"
Mark,"173,257","176,396","174,700","176,545","178,856","184,765","190,114","199,072","207,968","214,159","218,132","221,893","226,500","230,724","234,970","239,576","244,285","246,268","251,998","250,766","251,255","257,360","266,433","270,681","279,858","287,317","292,146","293,876","296,508","300,912","305,016"
Svenljunga,"168,272","171,669","168,490","171,215","173,451","179,025","184,333","195,507","202,962","206,936","212,392","216,149","220,217","225,340","230,352","235,555","237,251","238,477","240,987","241,443","243,617","249,787","255,960","259,261","264,234","272,512","274,846","279,097","280,078","286,939","289,892"
Herrljunga,"170,538","174,328","171,877","172,935","175,090","181,940","187,677","198,057","207,430","212,075","214,875","219,460","224,347","228,621","234,177","239,564","242,576","243,929","246,719","246,129","246,423","249,798","257,346","261,450","273,954","281,160","284,864","286,296","287,583","294,880","297,474"
Vara,"164,496","165,907","164,680","166,649","168,543","173,787","179,797","189,349","196,707","201,712","206,059","212,403","218,638","222,675","227,384","230,436","236,083","239,365","241,935","240,516","242,989","248,654","253,082","256,190","265,214","274,235","278,323","281,928","285,053","289,519","292,434"
Götene,"180,960","183,931","181,191","183,326","185,199","192,418","199,246","207,161","218,639","223,046","226,929","233,465","237,703","241,993","246,418","250,771","256,999","259,088","263,932","260,931","259,882","264,985","269,990","273,475","282,731","292,989","296,945","297,866","300,262","306,517","311,158"
Tibro,"177,184","179,794","176,957","177,873","180,144","187,762","192,581","202,315","212,343","218,458","220,275","223,967","227,222","230,955","235,209","235,792","241,050","242,469","246,336","241,632","243,000","244,353","250,656","248,548","258,578","268,548","273,621","277,456","276,624","283,000","285,954"
Töreboda,"162,985","166,203","163,693","163,835","165,378","169,547","175,833","186,048","194,219","198,430","200,827","206,249","211,452","215,900","216,021","219,752","223,143","225,501","227,760","223,924","224,831","229,483","237,126","238,558","245,435","251,575","255,955","259,495","258,542","260,369","265,710"
Göteborg,"191,383","192,943","187,400","185,563","186,842","191,410","194,329","203,462","212,582","219,584","224,808","229,818","233,605","238,601","242,368","246,613","251,755","254,540","256,448","252,017","253,555","262,717","269,914","275,325","288,599","299,358","305,452","309,814","313,005","315,852","318,802"
Mölndal,"206,337","208,455","205,321","205,931","207,474","216,515","222,002","231,449","241,238","247,883","253,745","259,389","262,344","267,393","273,229","278,651","285,632","289,065","296,073","294,642","296,086","304,293","312,879","320,920","332,849","341,897","346,553","351,776","357,162","361,814","366,499"
Kungälv,"200,295","203,580","199,959","201,986","204,990","212,743","219,083","228,567","239,317","244,721","249,871","254,951","258,277","263,746","268,434","272,688","278,134","281,437","288,271","288,613","289,072","296,449","303,588","310,884","321,663","332,444","338,307","340,919","344,675","349,710","354,536"
Lysekil,"180,658","184,817","182,179","182,317","182,688","188,368","191,478","203,374","211,076","216,720","219,760","224,267","227,921","233,213","237,774","240,485","243,440","244,750","250,490","247,655","247,162","256,145","261,862","266,658","276,322","283,311","286,951","287,969","288,807","294,538","297,961"
Uddevalla,"187,607","191,170","187,541","186,798","187,375","191,996","196,010","206,507","213,913","219,002","222,196","227,687","232,199","235,835","240,991","245,595","249,295","251,476","256,153","253,440","251,447","259,536","264,967","270,384","282,064","291,015","297,084","298,174","299,275","304,485","305,815"
Strömstad,"167,063","172,408","171,595","171,882","171,866","177,569","181,596","188,768","197,577","204,220","206,524","214,095","221,034","224,647","230,238","231,848","234,335","233,058","242,550","235,405","232,521","251,484","258,675","259,389","299,427","303,749","305,369","308,808","313,330","305,429","304,024"
Vänersborg,"193,649","197,818","195,020","193,748","195,062","200,919","206,733","216,051","224,246","230,178","233,449","239,536","240,671","244,609","249,670","253,310","255,849","256,860","259,743","256,383","254,335","261,223","264,734","267,808","276,389","284,111","289,901","295,735","293,316","299,510","300,348"
Trollhättan,"197,727","201,216","198,407","194,679","195,075","199,817","206,426","218,102","226,495","230,739","235,058","241,745","243,735","246,651","250,973","254,542","255,948","255,596","257,825","252,124","250,778","256,123","255,676","260,535","273,479","284,578","289,954","293,790","295,713","298,989","300,831"
Alingsås,"183,226","187,329","184,154","186,073","187,766","194,166","199,552","210,096","218,853","225,655","231,095","236,529","241,474","246,512","250,782","254,290","257,608","259,386","264,019","261,714","262,807","270,515","278,109","284,344","293,326","300,843","306,136","309,402","312,938","316,382","320,024"
Borås,"186,700","189,545","186,835","186,676","188,563","194,579","199,426","208,634","216,613","221,932","226,251","229,884","232,528","238,240","243,757","246,828","251,143","253,491","257,294","255,834","258,073","263,319","268,699","273,651","283,175","290,898","295,825","299,425","300,879","303,108","306,222"
Ulricehamn,"172,954","176,692","174,417","178,050","180,524","186,673","192,390","201,539","209,057","215,307","219,534","226,239","230,094","236,885","240,691","244,372","249,569","252,304","257,815","255,488","257,405","262,251","270,058","275,573","284,743","293,470","296,019","301,729","300,191","305,251","309,571"
Åmål,"175,824","180,238","176,957","178,503","182,120","188,249","193,301","200,649","206,883","209,113","213,027","219,063","222,443","226,426","231,295","230,228","230,469","230,669","233,813","228,227","225,659","235,142","240,352","241,890","250,450","251,994","257,918","259,445","263,765","269,959","273,060"
Mariestad,"184,132","186,738","184,295","183,884","186,738","192,568","197,089","206,628","213,673","220,076","222,353","226,640","231,302","236,477","241,205","243,515","248,311","247,431","251,593","248,758","247,817","251,542","259,244","261,861","271,818","280,831","287,980","288,170","290,263","296,438","302,246"
Lidköping,"179,752","182,601","181,473","182,978","186,049","191,525","197,047","205,083","214,111","219,506","224,447","230,554","235,552","240,946","246,923","251,610","255,765","259,338","263,931","261,916","261,596","268,504","273,708","277,861","288,968","297,487","303,554","307,277","309,102","313,266","317,284"
Skara,"183,075","186,738","184,154","186,006","187,350","194,786","199,810","209,363","218,756","224,666","228,000","233,226","238,086","242,184","245,899","248,472","251,150","253,492","259,098","256,867","253,985","257,788","257,667","264,665","274,677","281,951","291,442","293,268","294,881","300,605","302,366"
Skövde,"192,742","195,602","192,480","192,545","193,976","200,491","204,345","213,526","223,644","229,236","232,208","234,622","237,503","243,200","248,958","253,084","258,582","263,744","265,216","262,795","267,170","274,474","280,145","286,528","296,504","303,571","308,610","314,465","316,110","318,403","322,607"
Hjo,"174,012","176,544","175,828","175,875","176,511","184,231","188,010","197,573","204,664","211,576","214,096","218,849","225,822","230,195","234,503","239,201","244,671","247,909","250,247","245,238","245,914","250,411","258,904","261,850","270,162","279,603","284,412","288,894","289,140","292,691","299,671"
Tidaholm,"179,299","183,192","182,037","181,302","182,817","187,405","191,701","201,579","209,943","215,268","216,476","221,161","226,720","231,248","234,554","238,128","243,417","244,115","248,504","241,778","245,106","249,167","256,360","259,152","269,459","276,630","282,719","286,802","288,855","292,952","297,352"
Falköping,"172,199","175,510","173,994","174,515","176,913","183,254","187,860","197,739","205,054","212,736","215,211","219,410","222,458","227,980","233,817","237,294","242,330","245,963","249,204","245,296","245,708","252,103","257,821","261,069","269,008","276,766","282,002","285,495","287,434","290,311","292,949"
VÄRMLANDS LÄN,"182,018","186,147","184,013","184,559","186,757","192,236","195,944","203,590","210,636","214,747","217,355","221,413","225,874","231,003","235,053","238,328","240,216","241,370","245,983","242,705","242,114","252,518","258,452","261,118","274,941","280,875","284,598","287,683","290,039","292,390","294,787"
Kil,"186,398","189,545","187,682","190,767","192,846","200,505","203,976","207,661","215,424","220,356","223,726","226,878","232,594","237,819","242,071","244,712","246,297","249,720","252,705","250,787","252,097","263,179","268,961","273,169","284,626","291,407","294,542","298,617","299,505","303,317","304,064"
Eda,"165,100","169,601","168,067","169,345","173,411","177,874","182,402","191,252","196,596","198,516","199,966","205,655","207,411","210,267","212,036","213,685","213,726","213,796","215,764","203,222","204,073","217,280","223,644","224,435","267,660","270,097","269,018","274,406","278,143","273,796","273,888"
Torsby,"168,574","174,624","171,877","172,761","174,689","177,923","184,736","191,969","198,738","201,118","201,219","204,480","209,224","214,266","216,926","219,414","220,442","220,436","226,391","225,728","223,613","238,059","244,886","246,277","260,296","264,141","269,034","271,509","276,261","278,699","281,261"
Storfors,"180,658","183,045","181,896","181,423","187,348","194,408","195,873","204,791","213,080","214,176","219,468","222,112","224,405","228,184","230,368","234,357","236,272","237,170","244,020","236,630","236,628","245,852","247,674","249,601","258,477","264,591","267,987","275,426","275,441","282,018","283,309"
Hammarö,"207,545","209,785","208,990","210,045","212,275","223,248","227,431","234,795","242,356","249,856","254,120","256,688","262,297","269,348","274,652","278,813","281,132","285,951","294,200","297,297","295,893","305,459","313,787","322,559","331,794","340,924","347,998","352,170","352,415","357,557","362,920"
Munkfors,"174,767","180,828","177,804","179,680","182,494","189,023","193,163","200,482","207,382","210,021","209,622","215,094","218,279","223,998","224,044","223,937","224,761","222,259","224,882","219,404","219,056","230,726","237,583","237,353","251,697","254,263","257,915","262,044","261,911","265,906","268,972"
Forshaga,"188,513","191,170","189,517","190,006","191,913","197,538","201,190","208,585","216,980","220,633","223,916","224,950","230,051","234,389","239,210","242,819","243,856","244,314","252,391","247,636","245,690","255,045","262,173","264,280","279,686","286,261","289,157","289,581","292,101","293,785","297,798"
Grums,"183,981","187,477","185,283","186,541","188,264","195,380","197,642","205,057","213,072","216,297","218,607","222,580","226,595","232,928","235,848","237,980","240,418","240,328","246,129","240,507","238,345","246,006","250,262","253,173","261,885","269,864","274,490","275,625","279,720","284,296","285,323"
Årjäng,"162,532","165,316","164,963","166,739","169,837","174,672","180,165","186,941","192,035","196,024","195,491","197,369","202,182","206,714","212,288","214,800","213,674","210,856","213,541","203,978","203,377","234,117","238,298","241,317","283,625","287,993","284,945","285,176","294,658","292,330","292,112"
Sunne,"168,725","175,362","174,841","174,802","177,340","182,373","186,286","193,191","199,651","204,982","208,412","211,039","216,687","221,185","224,602","228,360","229,609","229,401","234,003","234,765","234,015","248,290","255,131","253,875","265,871","272,406","278,797","284,696","283,215","287,138","291,727"
Karlstad,"194,404","196,636","193,468","193,882","194,051","199,495","202,990","210,995","218,759","223,541","226,314","230,510","236,159","241,124","246,178","250,220","253,073","255,008","260,536","257,416","257,514","266,640","273,787","277,208","289,679","296,421","299,770","302,588","304,365","306,175","310,187"
Kristinehamn,"183,528","187,920","184,860","183,773","185,953","192,428","196,993","204,426","211,961","216,056","219,590","223,214","225,985","229,750","233,288","237,502","238,076","237,628","242,089","239,135","235,251","242,904","247,606","248,202","257,246","261,615","267,837","270,288","270,839","274,546","275,388"
Filipstad,"176,127","179,647","178,368","180,366","182,630","186,500","189,220","196,936","203,380","207,053","209,638","214,652","217,355","219,911","223,714","226,590","226,802","227,718","231,812","226,569","225,496","229,056","234,539","233,520","238,754","240,466","247,655","246,480","248,233","252,443","254,591"
Hagfors,"181,262","187,329","184,013","185,331","187,070","192,465","194,833","202,322","208,777","212,283","212,932","217,693","221,372","226,500","228,482","228,662","229,100","230,208","233,064","231,810","229,175","238,210","244,050","249,049","257,919","264,240","267,645","269,413","270,939","269,712","269,391"
Arvika,"170,387","176,692","175,264","177,531","179,788","184,373","189,407","197,537","203,106","207,146","209,897","213,806","218,907","224,615","229,061","234,070","236,473","240,468","242,071","237,826","237,701","246,386","251,359","256,408","271,056","276,605","279,551","281,119","284,456","286,804","288,130"
Säffle,"169,933","175,510","174,841","175,238","178,596","184,174","187,342","194,975","202,745","206,730","208,643","215,729","218,256","223,657","226,425","228,175","229,463","228,129","234,633","228,289","225,928","235,748","239,433","238,077","248,319","254,859","257,968","260,513","263,878","265,488","266,588"
ÖREBRO LÄN,"187,455","191,465","188,105","188,021","189,837","194,919","199,240","208,207","216,452","221,876","224,554","229,585","231,986","236,935","240,825","244,433","248,775","251,033","255,108","251,429","251,766","258,696","264,164","267,915","275,849","282,614","286,883","288,752","290,299","295,274","298,440"
Lekeberg,0,0,0,"175,524","179,096","184,888","190,320","199,893","209,809","216,693","222,667","228,942","231,218","233,469","238,376","242,839","250,768","252,240","257,579","257,321","257,156","263,351","271,112","276,943","288,955","295,938","304,113","306,471","310,195","311,662","315,311"
Laxå,"186,096","192,795","187,964","189,640","191,743","197,547","204,405","211,305","219,215","222,151","224,101","225,816","226,851","231,162","233,772","235,082","240,628","242,524","245,387","244,642","247,371","249,631","253,236","244,451","256,233","261,871","266,400","269,103","266,519","274,848","275,076"
Hallsberg,"185,643","188,806","185,565","186,028","190,861","196,821","202,073","211,875","220,039","225,344","225,212","229,824","231,103","236,364","240,081","243,048","246,709","247,772","251,499","246,048","247,689","253,508","259,245","266,821","271,563","276,599","281,278","282,289","283,441","289,988","295,548"
Degerfors,"186,700","191,613","187,541","187,748","189,647","195,632","199,101","206,763","215,552","219,844","224,501","229,089","232,709","234,581","238,357","240,774","244,773","245,010","250,151","244,126","240,803","248,041","251,351","253,135","260,678","266,033","268,918","268,245","267,898","274,170","276,579"
Hällefors,"183,830","186,886","182,461","181,794","183,515","186,202","189,513","198,495","205,676","208,698","210,791","214,104","220,091","226,319","227,768","231,433","231,555","233,695","234,289","231,600","227,528","231,036","238,552","239,023","243,075","251,668","253,993","255,200","253,863","257,638","259,319"
Ljusnarsberg,"173,710","179,647","176,675","177,658","178,025","180,956","185,725","194,328","199,541","202,028","204,362","209,119","214,130","216,317","218,121","219,927","218,860","216,587","224,293","218,707","218,585","223,320","225,954","225,647","230,599","237,017","237,820","240,595","238,780","240,911","244,344"
Örebro,"187,909","191,465","187,682","188,360","188,959","193,371","196,479","205,596","213,339","219,568","223,440","228,938","231,138","236,568","240,767","245,123","249,803","253,074","257,996","254,912","255,828","262,967","269,552","273,710","282,875","290,316","293,324","294,387","296,149","300,379","303,180"
Kumla,"187,758","193,238","191,633","194,348","198,223","206,100","216,320","226,123","234,745","240,777","241,154","245,515","244,468","246,922","249,956","254,206","259,244","262,119","266,921","263,161","263,561","269,998","275,788","282,132","290,801","298,854","302,347","305,096","306,047","310,233","313,917"
Askersund,"177,637","183,635","179,639","180,771","183,561","189,646","195,910","204,951","212,840","218,421","219,404","224,724","227,706","234,225","236,724","239,719","242,495","244,184","248,580","248,018","248,316","253,251","261,603","266,059","272,760","277,050","285,359","287,712","288,608","292,176","297,742"
Karlskoga,"197,123","200,034","197,137","195,736","197,800","203,915","208,041","216,455","226,297","230,743","232,695","236,801","239,056","244,909","248,763","251,033","253,580","255,219","259,828","252,842","250,813","259,658","263,756","264,866","272,713","277,799","281,787","286,359","289,930","298,228","302,284"
Nora,"188,211","191,022","189,375","188,698","189,536","195,158","199,560","206,145","214,126","219,180","221,009","227,440","229,889","235,455","242,098","245,114","250,108","251,555","254,438","251,067","251,463","257,071","262,261","265,334","271,201","275,287","280,384","281,589","284,630","290,641","293,868"
Lindesberg,"183,981","188,806","185,706","184,698","187,142","193,233","197,915","207,197","215,226","219,215","222,119","225,800","230,900","234,777","239,156","242,635","248,648","250,623","250,648","247,181","248,845","255,571","259,074","260,539","267,085","274,341","281,277","281,852","282,049","285,082","287,351"
VÄSTMANLANDS LÄN,"193,044","196,045","192,057","191,026","192,845","198,227","202,298","210,514","219,128","224,337","228,428","233,087","236,343","241,049","244,498","249,102","253,208","255,499","260,308","256,418","256,283","262,442","268,083","272,302","280,932","288,005","291,594","294,662","296,687","300,993","303,045"
Skinnskatteberg,"179,903","184,226","180,909","181,178","186,775","192,567","195,750","204,768","212,084","214,970","218,637","226,153","225,359","227,840","233,539","234,181","236,669","240,211","242,095","237,854","236,864","244,349","249,948","250,351","252,985","262,083","265,367","270,609","269,451","272,259","276,117"
Surahammar,"198,180","200,921","197,560","197,187","200,683","206,525","211,308","220,855","228,255","233,128","238,940","243,177","245,741","248,633","251,980","254,822","256,048","259,255","263,141","256,772","256,116","261,174","264,446","265,569","274,402","280,209","282,246","287,007","291,267","293,897","297,265"
Kungsör,"187,455","190,136","187,823","190,508","193,125","198,096","203,410","212,650","221,769","227,759","229,996","233,370","237,412","242,938","248,096","253,100","255,713","255,411","258,680","254,239","254,994","259,666","261,032","262,444","269,608","275,178","276,262","279,328","284,088","288,875","292,276"
Hallstahammar,"195,612","197,523","192,621","191,913","194,115","199,848","203,481","210,701","219,549","224,590","226,877","231,593","236,832","241,266","242,910","245,580","249,210","250,783","252,483","249,517","248,020","252,448","256,606","261,481","270,959","278,591","283,361","285,219","287,176","293,083","294,426"
Norberg,"187,909","191,170","189,517","188,379","192,465","196,393","201,304","210,178","213,500","218,829","219,914","225,559","230,093","232,215","237,334","239,021","242,921","245,978","250,673","248,134","243,714","252,435","258,198","254,726","262,119","274,489","277,157","277,436","273,224","275,590","276,357"
Västerås,"199,842","202,693","198,407","196,813","197,280","203,695","208,208","215,904","224,599","229,665","234,195","238,593","241,565","246,518","249,789","253,933","258,460","260,904","267,600","264,838","264,566","271,109","277,994","283,318","292,328","299,461","302,323","306,007","308,616","312,296","314,926"
Sala,"178,694","182,158","179,639","178,901","180,280","185,164","189,748","197,836","206,946","212,538","217,125","218,826","222,396","226,402","229,681","234,134","239,329","242,215","247,762","246,665","244,989","250,983","257,467","260,741","267,549","274,791","277,611","281,672","282,888","289,271","290,184"
Fagersta,"192,893","196,784","192,057","192,490","196,895","203,142","207,831","215,593","224,583","227,867","231,166","236,961","239,810","244,634","247,979","250,073","255,561","259,647","259,089","252,753","252,551","258,936","265,326","264,880","270,373","275,183","283,269","281,851","284,226","289,313","289,045"
Köping,"187,455","190,727","186,976","185,944","188,372","192,735","196,229","205,460","214,735","220,566","224,482","228,945","234,546","239,282","242,675","243,414","248,442","249,733","249,266","244,406","246,552","252,537","256,934","263,197","271,756","277,975","281,776","283,695","286,612","288,203","292,707"
Arboga,"190,930","193,681","189,658","187,365","190,042","196,483","199,529","206,984","217,170","221,569","225,074","229,364","231,434","237,037","240,683","241,878","244,332","246,198","250,262","243,527","241,982","247,554","253,107","255,092","261,865","270,019","274,870","277,695","277,854","280,957","282,803"
DALARNAS LÄN,"185,039","188,954","186,130","186,412","188,197","192,803","196,575","205,017","213,021","217,697","221,045","226,699","231,461","236,718","240,993","244,622","247,386","248,965","254,573","251,948","250,576","258,015","264,805","269,004","277,299","283,249","286,609","288,696","289,861","294,689","297,782"
Vansbro,"161,323","167,385","165,668","167,499","169,224","173,984","181,972","189,074","197,266","200,740","203,567","209,200","213,392","216,901","220,471","221,534","219,947","219,331","222,797","222,031","220,315","230,724","235,305","239,816","250,292","255,676","259,755","261,890","263,378","270,463","275,058"
Malung,"175,069","178,760","179,497","179,332","182,906","186,652","189,112","197,218","201,888","204,785","207,822","215,027","220,027","224,530","229,296","234,505","234,448","233,655","238,197","239,870","236,838","244,397","252,190","257,612","269,065","275,072","280,352","283,001","284,985","289,384","294,322"
Gagnef,"179,752","184,965","179,215","178,087","180,393","186,547","190,625","200,589","208,829","214,413","218,469","223,957","226,927","233,198","237,288","243,342","246,059","247,280","250,997","250,787","251,602","262,301","268,945","273,927","280,555","287,703","291,447","294,061","292,243","300,690","302,814"
Leksand,"175,069","179,499","178,368","178,863","181,241","186,101","188,584","197,352","205,356","210,937","216,464","221,262","226,178","231,809","237,452","242,240","244,519","246,249","252,174","250,549","249,939","256,482","263,930","266,896","277,172","282,903","285,030","284,665","285,048","289,959","292,884"
Rättvik,"167,214","172,408","168,773","169,601","171,016","175,284","179,123","186,372","194,016","197,547","201,658","207,221","212,311","217,730","220,889","225,434","227,935","228,418","234,596","233,738","229,971","236,598","244,863","246,448","254,185","261,370","266,105","269,764","269,264","274,048","275,567"
Orsa,"168,272","172,555","172,583","172,835","174,526","179,193","182,576","189,956","196,929","200,084","200,440","208,781","214,814","218,711","221,277","223,472","223,687","223,015","226,813","222,803","218,698","229,101","233,701","236,989","250,573","259,672","258,781","263,325","265,314","269,210","269,930"
Älvdalen,"169,027","174,033","172,583","173,214","176,864","177,656","181,297","188,848","197,360","198,238","200,070","207,712","212,193","217,250","221,331","223,344","223,400","225,032","231,209","230,030","227,819","233,837","241,908","245,906","260,939","273,506","269,519","271,986","274,147","278,057","280,348"
Smedjebacken,"189,721","195,307","191,915","194,774","197,142","201,341","204,492","213,859","220,103","225,373","229,049","235,091","240,314","244,409","247,936","251,129","255,549","258,443","261,908","253,873","255,247","263,338","269,945","273,746","279,946","284,711","290,323","292,735","292,267","295,395","298,865"
Mora,"182,471","186,738","185,142","186,680","187,643","191,468","195,590","205,536","214,291","218,172","221,051","227,790","233,378","237,847","242,390","244,588","246,702","247,595","253,595","249,934","249,091","256,815","264,612","271,154","279,295","286,773","290,931","292,486","295,726","298,333","297,310"
Falun,"197,576","200,330","197,842","197,531","197,509","202,445","206,738","214,790","223,087","227,703","230,938","236,131","240,922","247,077","251,645","256,544","260,496","262,687","269,265","266,235","265,750","274,342","280,604","286,988","295,591","302,223","305,524","307,747","309,927","315,743","320,289"
Borlänge,"194,102","196,932","192,057","190,542","192,050","196,860","200,213","208,725","217,767","222,913","227,622","232,574","236,876","243,002","247,354","250,103","254,228","255,929","259,893","255,516","254,172","259,955","267,237","270,828","280,598","285,072","288,749","289,814","291,603","295,621","297,238"
Säter,"182,924","186,886","183,731","185,378","186,230","192,594","197,884","209,183","215,715","222,177","225,115","230,191","233,710","240,491","245,539","248,795","251,172","255,072","262,128","261,725","257,623","263,936","271,995","277,591","286,443","295,297","298,401","298,884","298,261","300,984","304,889"
Hedemora,"181,867","185,261","181,473","182,351","184,799","189,035","193,531","202,260","210,382","216,266","219,426","223,528","227,521","234,350","235,816","238,615","242,906","243,944","249,788","248,512","246,849","250,839","254,262","257,890","265,096","271,762","272,673","275,696","274,984","280,330","282,871"
