id,sex,Country_fatefile,territory,Revir_Vinter,Y_coordinate_fatefile,X_coordinate_fatefile,Autumn,Spring,Fate,confirmed illegal,Radio collar,Comment,average_paved_km,average_gravel_km,average_light,average_hf,dem_mean,slope_mean,aspect_mean,ruggedness_mean,KommunerKode,KommunerNamn,Country,pop_mean,Norwegian_wolf_zone,number_neighbour_terr,Reindeerarea,mean_snow,n_months_monitoringseason_averagesnow,hunt_afo,hunt_county,extr_parabol_2yr_value,extr_parabol_5yr_value,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_10,code_11,code_12,code_16,code_18,code_20,code_21,code_23,code_24,code_25,code_26,code_27,code_29,code_30,code_31,code_32,code_33,code_35,code_36,code_37,code_39,code_40,code_41,code_42,code_43,code_44,monitoredwolfterrcentroid,SLU-ID,Fi,BirthTerr
D-99-02,M,S,Leksand 1,Leksand_9899,6732053,1425211,1998,1999,other,NA,0,Malformation in spine (skolios),0.22,1.07,0.39,4.57,329.771,29.702,177.984,0.264,2029,Leksand,S,9.475,0,0,0,NA,NA,NA,3.1,0.49260798,0.294057368,0,0.0034,0,0,0,0,0,0,0,0,0.00053,0.01235,0,0,3.00E-04,0.00084,0.00099,0.74201,0.02662,0,0,0.10812,0,0,0,0,0.00166,0.02725,0,0,0.00034,0.07559,0,0,0,1,D-99-02,0,Gh
M-98-05,F,S,Leksand 1,Leksand_9899,6732053,1425211,1998,1999,NA,NA,1,NA,0.22,1.07,0.39,4.57,329.771,29.702,177.984,0.264,2029,Leksand,S,9.475,0,0,0,NA,NA,NA,3.1,0.49260798,0.294057368,0,0.0034,0,0,0,0,0,0,0,0,0.00053,0.01235,0,0,3.00E-04,0.00084,0.00099,0.74201,0.02662,0,0,0.10812,0,0,0,0,0.00166,0.02725,0,0,0.00034,0.07559,0,0,0,1,M-98-05,0.125,X
G1-01,F,N,Moss,Moss_9899,6601308,1223908,1998,1999,NA,NA,0,NA,0.9,1.22,5.6,18.8,78.875,34.008,185.359,0.319,137,Våler,N,110.772,0,0,0,NA,NA,NA,1124.5,0.25007945,0.10003178,0.00038,0.02398,0.00401,0.00041,0,0.00285,0.00062,0,0,0.00057,0.00695,0.20938,0,0,0.00689,0.07242,0.01105,0.52049,0.00241,0,0,0.0304,0,0,0,0,0,0.00645,0,0.00277,0.01868,0.0558,0,0,0.02348,1,G1-01,0.125,Hag2
M-98-08,M,N,Moss,Moss_9899,6601308,1223908,1998,1999,NA,NA,1,NA,0.9,1.22,5.6,18.8,78.875,34.008,185.359,0.319,137,Våler,N,110.772,0,0,0,NA,NA,NA,1124.5,0.25007945,0.10003178,0.00038,0.02398,0.00401,0.00041,0,0.00285,0.00062,0,0,0.00057,0.00695,0.20938,0,0,0.00689,0.07242,0.01105,0.52049,0.00241,0,0,0.0304,0,0,0,0,0,0.00645,0,0.00277,0.01868,0.0558,0,0,0.02348,1,M-98-08,0.125,Hag2
M-00-01,M,S,Årjangkongsvinger,Årjäng-Kongsvinger_9899,6632272,1273927,1998,1999,NA,NA,1,NA,0.38,1.36,0.15,5.42,229.274,31.685,180.295,0.342,121,Rømskog,N,8.642,0,0,0,NA,NA,NA,1062.4,0.253520119,0.102780057,0,8.00E-04,0,0,0,0,0,0,0,0,0,0.0263,0,0.00176,0.00622,0.02577,0,0.77918,0.00337,0,0,0.03069,0,0,0,0,0,0.05285,0,0,0,0.07306,0,0,0,1,M-00-01,0.125,Hag1
M-00-02,F,S,Årjangkongsvinger,Årjäng-Kongsvinger_9899,6632272,1273927,1998,1999,NA,NA,1,NA,0.38,1.36,0.15,5.42,229.274,31.685,180.295,0.342,121,Rømskog,N,8.642,0,0,0,NA,NA,NA,1062.4,0.253520119,0.102780057,0,8.00E-04,0,0,0,0,0,0,0,0,0,0.0263,0,0.00176,0.00622,0.02577,0,0.77918,0.00337,0,0,0.03069,0,0,0,0,0,0.05285,0,0,0,0.07306,0,0,0,1,M-00-02,0.125,Fre
D-01-18,M,N,Atndalen,Atndalen_9900,6873488,1229879,1999,2000,NA,NA,0,NA,0.09,0.35,0.02,3.66,837.471,22.383,164.69,0.375,432,Rendalen,N,2.122,0,1,0,NA,NA,NA,6471.7,0.528648811,0.216608353,0,0,0,0,0,0,0,0,0,0,0.00048,0,0,0,0.00067,0.00708,0.08181,0.39031,0.03615,0,0.02945,0.03539,0,0.00941,0.33151,0,0,0.07073,0,0,0.00564,0.00137,0,0,0,1,D-01-18,0.125,Fre
D-01-21,F,N,Atndalen,Atndalen_9900,6873488,1229879,1999,2000,NA,NA,0,NA,0.09,0.35,0.02,3.66,837.471,22.383,164.69,0.375,432,Rendalen,N,2.122,0,1,0,NA,NA,NA,6471.7,0.528648811,0.216608353,0,0,0,0,0,0,0,0,0,0,0.00048,0,0,0,0.00067,0.00708,0.08181,0.39031,0.03615,0,0.02945,0.03539,0,0.00941,0.33151,0,0,0.07073,0,0,0.00564,0.00137,0,0,0,1,D-01-21,NA,Mitt
M-00-09,M,S,Bograngen 1,Bograngen_9900,6744133,1320489,1999,2000,NA,NA,1,NA,0.27,1.32,0,5.18,380.975,19.274,173.418,0.2,1737,Torsby,S,5.653,0,1,0,NA,NA,NA,1872,0.490343475,0.277414156,0,0.00083,0,0,0,0,0,0,0,0,0.00061,0.00176,0,0.00048,0.00079,0.00112,0.00243,0.66174,0.07543,0,0,0.12631,0,0,0,0,0,0.09196,0,0,0.0039,0.03266,0,0,0,1,M-00-09,0.125,Fre
M-00-11,F,S,Bograngen 1,Bograngen_9900,6744133,1320489,1999,2000,NA,NA,1,NA,0.27,1.32,0,5.18,380.975,19.274,173.418,0.2,1737,Torsby,S,5.653,0,1,0,NA,NA,NA,1872,0.490343475,0.277414156,0,0.00083,0,0,0,0,0,0,0,0,0.00061,0.00176,0,0.00048,0.00079,0.00112,0.00243,0.66174,0.07543,0,0,0.12631,0,0,0,0,0,0.09196,0,0,0.0039,0.03266,0,0,0,1,M-00-11,0.375,Ny4b
