RovbaseID,DNAID,Art,Dødsårsak,"Dødsårsak, annet",Dødsdato,Usikker dødsdato,Dødstidspunkt,Alder på dødt individ,Aldersklasse verifisert SVA,Yngling,Kjønn,"Alder, vurdert","Alder, verifisert","Alder, verifisert av",Helvekt,Slaktevekt,CITES-nummer,Kontroll av fellingsted,Vevsprøve tatt,Observasjons/Jaktdato,Kontrollstatus,Vurdering,Microchip,Funnsted,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Individ,SVAID,Länsstyrelsens nr,Kommunenummer,Kommune,Fylkenummer,Fylke
M495546,D497260,Varg,Skyddsjakt,,1977.12.25,Ja,,Vuxen,Nej,Nej,Hane,4,,,"43,00","0,00",,Nej,Nej,1997.12.25,Laboratorium,Dokumenterad,,Norr om Håmojokk stn,7477972,722121,7477676,1687674,RT90,Mycket bra,,,,2-2523,Gällivare (S),2-25,Norrbottens län (S)
M495563,D497349,Varg,Skyddsjakt,,1993.02.24,Nej,,Vuxen,Nej,Nej,Hona,4,,,"36,00","0,00",,Nej,Nej,1993.02.24,Laboratorium,Dokumenterad,,"Västra Ämtevik, Hensgård",6623856,392889,6627454,1347583,RT90,Mindre bra,UI040743 D-93-02 V3 +,V1993-0178,,2-1766,Sunne (S),2-17,Värmlands län (S)
M202953,D437825,Varg,Skyddsjakt,,2000.05.23,Nej,,Vuxen,Nej,Nej,Hane,2,2,NINA,43,37,,Nej,Nej,2000.05.23,Laboratorium,Dokumenterad,,Roland,6501422,68742,6508865,1021738,WGS84-UTM Zon 33,Mindre bra,,,,1-4205,Lindesnes (N),1-42,Agder (N)
M202795,D437790,Varg,Skyddsjakt,,2000.06.07,Nej,,Vuxen,Nej,Nej,Hona,1,1,NINA,"31,5","27,3",,Nej,Nej,2000.06.07,Laboratorium,Dokumenterad,,Gransjøsætra,6727931,313739,6732482,1269521,WGS84-UTM Zon 33,Mindre bra,UI040595 D-00-14 V34 +,,,1-3413,Stange (N),1-34,Innlandet (N)
M202796,D437791,Varg,Skyddsjakt,,2000.07.07,Nej,,Vuxen,Nej,Nej,Hane,2,2,NINA,48,38,,Nej,Nej,2000.07.07,Laboratorium,Dokumenterad,,Hovdet,6909535,288906,6914473,1246932,WGS84-UTM Zon 33,Mindre bra,UI408829 V35 +,,,1-3427,Tynset (N),1-34,Innlandet (N)
M202797,D437792,Varg,Skyddsjakt,,2000.08.27,Nej,,Vuxen,Nej,Nej,Hane,4,4,NINA,48,45,,Nej,Nej,2000.08.27,Laboratorium,Dokumenterad,,Østamyra,6861066,295862,6865896,1253286,WGS84-UTM Zon 33,Mindre bra,UI040305 D-00-15 V36 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M203944,D439291,Varg,Skyddsjakt,,2001.02.19,Nej,,Unge,Nej,Nej,Hona,0,0,NINA,"31,5","25,8",,Nej,Nej,2001.02.19,Laboratorium,Dokumenterad,,Grøtenedalen,6866164,275537,6871250,1233015,WGS84-UTM Zon 33,Mindre bra,UI040596 D-01-13 V42 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M203937,D439063,Varg,Skyddsjakt,,2001.02.25,Nej,,Vuxen,Nej,Nej,Hona,1,1,NINA,"33,4","29,7",,Nej,Nej,2001.02.25,Laboratorium,Dokumenterad,,Nordre Imssjø,6834389,268176,6839551,1225255,WGS84-UTM Zon 33,Mindre bra,UI040597 D-01-14 V43 +,,,1-3439,Ringebu (N),1-34,Innlandet (N)
M203938,D439064,Varg,Skyddsjakt,,2001.02.25,Nej,,Vuxen,Nej,Nej,Hona,1,1,NINA,"37,1",32,,Nej,Nej,2001.02.25,Laboratorium,Dokumenterad,,Famptjønna,6834568,269499,6839714,1226581,WGS84-UTM Zon 33,Mindre bra,UI040598 D-01-15 V44 +,,,1-3439,Ringebu (N),1-34,Innlandet (N)
M203945,D439292,Varg,Skyddsjakt,,2001.03.04,Nej,,Unge,Nej,Nej,Hane,0,0,NINA,"31,7","27,9",,Nej,Nej,2001.03.04,Laboratorium,Dokumenterad,,Klunkneset,6861775,278446,6866822,1235871,WGS84-UTM Zon 33,Mindre bra,UI040599 D-01-16 V45 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M203939,D439286,Varg,Skyddsjakt,,2001.03.17,Nej,,Unge,Nej,Nej,Hane,0,0,NINA,"41,1",37,,Nej,Nej,2001.03.17,Laboratorium,Dokumenterad,,"Aursjøbekken, Nordisetervorda",6876693,283345,6881686,1240958,WGS84-UTM Zon 33,Mindre bra,UI040600 D-01-17 V46 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M203940,D439287,Varg,Skyddsjakt,,2001.03.17,Nej,,Vuxen,Nej,Nej,Hane,4,4,NINA,"43,3","39,1",,Nej,Nej,2001.03.17,Laboratorium,Dokumenterad,,"Fossum, Atndal",6857646,272035,6862855,1229540,WGS84-UTM Zon 33,Mindre bra,UI040391 D-01-18 V47 +,,,1-3423,Stor-Elvdal (N),1-34,Innlandet (N)
M203941,D439288,Varg,Skyddsjakt,,2001.03.18,Nej,,Unge,Nej,Nej,Hona,0,0,NINA,"28,5","25,6",,Nej,Nej,2001.03.18,Laboratorium,Dokumenterad,,"Fosslia, Atndal",6858159,274092,6863259,1231470,WGS84-UTM Zon 33,Mindre bra,UI040601 D-01-19 V48 +,,,1-3423,Stor-Elvdal (N),1-34,Innlandet (N)
M203942,D439289,Varg,Skyddsjakt,,2001.03.18,Nej,,Unge,Nej,Nej,Hane,0,0,NINA,36,"32,3",,Nej,Nej,2001.03.18,Laboratorium,Dokumenterad,,Bjørnsjørustbekken,6871860,281290,6876876,1238842,WGS84-UTM Zon 33,Mindre bra,UI040602 D-01-20 V49 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M203943,D439290,Varg,Skyddsjakt,,2001.03.20,Nej,,Vuxen,Nej,Nej,Hona,4,4,NINA,"34,5","31,3",,Nej,Nej,2001.03.20,Laboratorium,Dokumenterad,,Klunkneset,6859417,280036,6864443,1237432,WGS84-UTM Zon 33,Mindre bra,UI040392 D-01-21 V50 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M301799,D438190,Varg,Skyddsjakt,,2003.02.22,Nej,,Vuxen,Nej,Nej,Hane,6,6,NINA,46,39,,Nej,Nej,2003.02.22,Laboratorium,Dokumenterad,,Nese,6520144,-19870,6528675,933272,WGS84-UTM Zon 33,Mindre bra,UI040833 D-03-09 V90 +,,,1-1101,Eigersund (N),1-11,Rogaland (N)
M004793,D061793,Varg,Skyddsjakt,,2004.02.01,Nej,11:25,Vuxen,Nej,Nej,Hane,1,,,39,,,Nej,Ja,2004.02.01,Laboratorium,Dokumenterad,,Flåsjön,6959846,424883,6963200,1383740,RT90,Mycket bra,UI040179 D-04-07 V159 +,V2004-0176,,2-2326,Berg (S),2-23,Jämtlands län (S)
M004794,D061794,Varg,Skyddsjakt,,2004.02.01,Nej,13:41,Vuxen,Nej,Nej,Hona,1,,,35,,,Nej,Ja,2004.02.01,Laboratorium,Dokumenterad,,Flåsjön,6961316,430523,6964600,1389400,RT90,Mycket bra,UI040531 D-04-08 V175 +,V2004-0177,,2-2326,Berg (S),2-23,Jämtlands län (S)
M303732,D439427,Varg,Skyddsjakt,,2004.03.25,Nej,,Vuxen,Nej,Nej,Hane,3,3,NINA,48,,,Nej,Nej,2004.03.25,Laboratorium,Dokumenterad,,Krokemyr,6510479,115831,6517325,1068851,WGS84-UTM Zon 33,Mindre bra,UI400306 D-04-09 V130 +,,,1-4216,Birkenes (N),1-42,Agder (N)
M304519,D440173,Varg,Skyddsjakt,,2004.06.06,Nej,,Vuxen,Nej,Nej,Hona,1,1,NINA,37,,,Nej,Nej,2004.06.06,Fältkontroll - SNO,Dokumenterad,,Romsæterberget,6714303,296923,6719055,1252530,WGS84-UTM Zon 33,Mindre bra,UI400324 D-04-10 V173 +,,,1-3413,Stange (N),1-34,Innlandet (N)
M305532,D439451,Varg,Jakt - Ospecificerad,,2005.01.16,Nej,,Vuxen,Nej,Nej,Hona,2,2,NINA,39,"28,8",,Nej,Nej,2005.01.16,Fältkontroll - Rovviltkontakt,Dokumenterad,,Tresdalen,6837945,289504,6842844,1246637,WGS84-UTM Zon 33,Mindre bra,UI400303 M-04-03 V99 +,,,1-3423,Stor-Elvdal (N),1-34,Innlandet (N)
M305583,D439452,Varg,Jakt - Ospecificerad,,2005.01.21,Nej,,Vuxen,Nej,Nej,Hona,5,5,NINA,39,"33,4",,Nej,Nej,2005.01.21,Fältkontroll - Rovviltkontakt,Dokumenterad,,Åkrestrømmen,6846361,299525,6851139,1256767,WGS84-UTM Zon 33,Mindre bra,UI400300 M-01-10 0110 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M305585,D439453,Varg,Jakt - Ospecificerad,,2005.01.22,Nej,,Vuxen,Nej,Nej,Hane,4,4,NINA,51,"38,1",,Nej,Nej,2005.01.22,Fältkontroll - Rovviltkontakt,Dokumenterad,,Østamyra,6860658,295925,6865487,1253344,WGS84-UTM Zon 33,Mindre bra,UI400307 M-04-02 0402 V132 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M305638,D401001,Varg,Jakt - Ospecificerad,,2005.01.29,Nej,,Vuxen,Nej,Nej,Hona,3,3,NINA,,,,Nej,Nej,2005.01.29,Fältkontroll - Rovviltkontakt,Dokumenterad,,Rustadhesten,6772831,300581,6777564,1256912,WGS84-UTM Zon 33,Mindre bra,UI400199 D-05-13 V189 +,,,1-3422,Åmot (N),1-34,Innlandet (N)
M305657,D439455,Varg,Jakt - Ospecificerad,,2005.01.31,Nej,,Vuxen,Nej,Nej,Hane,2,2,NINA,43,"37,4",,Nej,Nej,2005.01.31,Fältkontroll - Rovviltkontakt,Dokumenterad,,Grasbakkmyra,6755900,306660,6760550,1262784,WGS84-UTM Zon 33,Mindre bra,UI400323 D-05-14 V164 +,,,1-3412,Løten (N),1-34,Innlandet (N)
M004801,D061801,Varg,Skyddsjakt,,2005.02.17,Nej,01:30,Vuxen,Nej,Nej,Hane,2,,,47,,,Nej,Ja,2005.02.17,Laboratorium,Dokumenterad,,Ringvattnet,7117017,520928,7119220,1481800,RT90,Mycket bra,UI400325 M-05-01 0501 V177 +,V2005-0110,,2-2313,Strömsund (S),2-23,Jämtlands län (S)
M306026,D439473,Varg,Skyddsjakt,,2005.04.08,Nej,,Vuxen,Nej,Nej,Hane,3,3,NINA,"45,5","40,8",,Nej,Nej,2005.04.08,Fältkontroll - Rovviltkontakt,Dokumenterad,,Mikkelvatnet,7792807,1064561,7787789,2034049,WGS84-UTM Zon 33,Mindre bra,UI400329 D-05-18 V199 +,,,1-5444,Sør-Varanger (N),1-54,Troms og Finnmark (N)
M004807,D061807,Varg,Skyddsjakt,,2006.03.14,Nej,10:55,Vuxen,Nej,Nej,Hane,2,,,48,,,Nej,Ja,2006.03.14,Laboratorium,Dokumenterad,,"Rickebo, Häggenskullen",6784518,570222,6786004,1526951,RT90,Mycket bra,UI040564 D-06-12 V185 +,V2006-0782,,2-2183,Bollnäs (S),2-21,Gävleborgs län (S)
M004808,D061808,Varg,Skyddsjakt,,2006.03.14,Nej,,Vuxen,Nej,Nej,Hona,3,,,43,,,Nej,Ja,2006.03.14,Laboratorium,Dokumenterad,,"Rickebo, Häggenskullen",6784610,571734,6786078,1528464,RT90,Mycket bra,UI040540 D-06-13 V184 +,V2006-0783,,2-2183,Bollnäs (S),2-21,Gävleborgs län (S)
M308818,D401000,Varg,Skyddsjakt,,2006.05.31,Nej,,Vuxen,Nej,Nej,Hane,3,3,NINA,42,36,,Nej,Nej,2006.05.31,Fältkontroll - Rovviltkontakt,Dokumenterad,578098100166279,Joramo,6898394,191381,6904546,1149220,WGS84-UTM Zon 33,Mycket bra,UI400204 D-06-15 V208 +,,,1-3432,Lesja (N),1-34,Innlandet (N)
M004813,D061813,Varg,Skyddsjakt,,2007.02.08,Nej,,Vuxen,Ja,Nej,Hane,1,1,SVA,"35,2",,,Nej,Ja,2007.02.08,Laboratorium,Dokumenterad,,Fierrovagge,7443863,588117,7445300,1553200,RT90,Mycket bra,UI400345 M-07-01 0701 V215 +,V2007-0155,,2-2510,Jokkmokk (S),2-25,Norrbottens län (S)
M400727,D439642,Varg,Jakt - Ospecificerad,,2007.02.28,Nej,,Vuxen,Nej,Nej,Hane,1,1,NINA,38,,,Nej,Nej,2007.02.28,Laboratorium,Dokumenterad,,"Halsen, Elvål",6874575,293196,6879388,1250783,WGS84-UTM Zon 33,Mindre bra,UI400208 D-07-08 V231 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M401377,D400996,Varg,Skyddsjakt,,2007.06.14,Nej,,Vuxen,Nej,Nej,Hona,3,3,NINA,"35,5","31,5",,Nej,Nej,2007.06.14,Fältkontroll - Rovviltkontakt,Dokumenterad,,Gammelsætertjønna,6850217,294757,6855056,1252045,WGS84-UTM Zon 32,Mindre bra,UI400211 D-07-14 V234 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M401792,D439723,Varg,Jakt - Ospecificerad,,2007.10.11,Nej,,Vuxen,Nej,Nej,Hona,1,1,NINA,27,,,Nej,Nej,2007.10.11,Fältkontroll - Rovviltkontakt,Dokumenterad,,Nordhulia,6767896,304001,6772584,1260272,WGS84-UTM Zon 32,Mindre bra,UI400542 D-07-24 V241 +,,,1-3420,Elverum (N),1-34,Innlandet (N)
M401820,D439727,Varg,Jakt - Ospecificerad,,2007.10.20,Nej,,Vuxen,Nej,Nej,Hona,1,1,NINA,32,,,Nej,Nej,2007.10.20,Fältkontroll - Rovviltkontakt,Dokumenterad,578098100165652,Bokåsen,6766118,287882,6771005,1244124,WGS84-UTM Zon 32,Mindre bra,,,,1-3411,Ringsaker (N),1-34,Innlandet (N)
M004823,D061823,Varg,Skyddsjakt,,2007.11.26,Nej,11:30,Vuxen,Ja,Nej,Hane,9,9,SVA,47,,,Nej,Ja,2007.11.26,Laboratorium,Dokumenterad,,Söder Knappåsen,6672303,403111,6675800,1358400,RT90,Mycket bra,UI400333 M-05-08 0508 V203 +,V2007-1625,,2-1783,Hagfors (S),2-17,Värmlands län (S)
M004824,D061824,Varg,Skyddsjakt,,2008.01.08,Nej,,Osäker,Nej,Nej,Hona,,,,36,,,Nej,Ja,2008.01.08,Laboratorium,Dokumenterad,,"Skeppstedtstorpet, Lyred",6645004,361064,6649000,1316000,RT90,Mycket bra,UI040396 D-08-02 +,V2008-0017,,2-1784,Arvika (S),2-17,Värmlands län (S)
M004825,D061825,Varg,Skyddsjakt,,2008.02.04,Nej,,Vuxen,Ja,Nej,Hane,2,2,SVA,"39,2",,,Nej,Ja,2008.02.04,Laboratorium,Dokumenterad,,St. Flakakölen,7406898,849554,7404942,1814197,RT90,Mycket bra,UI400360 M-07-02 V236 +,V2008-0210,,2-2513,Överkalix (S),2-25,Norrbottens län (S)
M004831,D061831,Varg,Skyddsjakt,,2008.02.29,Nej,12:34,Vuxen,Ja,Nej,Hona,1,1,SVA,"34,6",,,Nej,Ja,2008.02.29,Laboratorium,Dokumenterad,,Dörrsjöarna,6983782,436549,6987000,1395710,RT90,Mycket bra,UI040555 D-08-04 +,V2008-0889,,2-2326,Berg (S),2-23,Jämtlands län (S)
M004832,D061832,Varg,Skyddsjakt,,2008.02.29,Nej,12:34,Vuxen,Ja,Nej,Hane,3,3,SVA,"38,2",,,Nej,Ja,2008.02.29,Laboratorium,Dokumenterad,,Dörrsjöarna,6983782,436549,6987000,1395710,RT90,Mycket bra,UI400539 D-08-03 V252 +,V2008-0890,,2-2326,Berg (S),2-23,Jämtlands län (S)
M004826,D061826,Varg,Skyddsjakt,,2008.03.03,Nej,,Osäker,Nej,Nej,Hane,,,,"31,1",,,Nej,Ja,2008.03.03,Laboratorium,Dokumenterad,,"Vibergstjärnen, Söndagsberget",6821136,544709,6822948,1501883,RT90,Mycket bra,UI040757 D-08-05 +,V2008-0377,,2-2121,Ovanåker (S),2-21,Gävleborgs län (S)
M004827,D061827,Varg,Skyddsjakt,,2008.03.15,Nej,,Unge,Ja,Nej,Hane,0,0,SVA,34,,,Nej,Ja,2008.03.15,Laboratorium,Dokumenterad,,Gusselby,6613156,512137,6615300,1466750,RT90,Mycket bra,UI040643 D-08-06 +,V2008-0517,,2-1885,Lindesberg (S),2-18,Örebro län (S)
M403281,D439908,Varg,Skyddsjakt,,2008.06.24,Nej,,Vuxen,Nej,Nej,Hane,1,1,NINA,45,,,Nej,Nej,2008.06.24,Fältkontroll - Rovviltkontakt,Dokumenterad,,Joten,6892470,298464,6897226,1256276,WGS84-UTM Zon 32,Mindre bra,,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M403339,D439911,Varg,Skyddsjakt,,2008.07.03,Nej,,Vuxen,Nej,Nej,Hane,1,1,NINA,52,,,Nej,Nej,2008.07.03,Fältkontroll - Rovviltkontakt,Dokumenterad,,Vedhundfløyet,6900981,304186,6905724,1262111,WGS84-UTM Zon 33,Mindre bra,,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M004833,D061833,Varg,Skyddsjakt,,2008.08.27,Nej,,Osäker,Nej,Nej,Hane,,,,40,,,Nej,Ja,2008.08.27,Laboratorium,Dokumenterad,,"Tomten, Hjärtum",6454945,330378,6459211,1283000,RT90,Mycket bra,UI040377 D-08-15 +,V2008-1141,,2-1462,LillaEdet (S),2-14,Västra Götalands län (S)
M004835,D061835,Varg,Skyddsjakt,,2008.11.23,Nej,09:15,Vuxen,Ja,Nej,Hona,1,1,SVA,35,,,Nej,Ja,2008.11.23,Laboratorium,Dokumenterad,,"Åkärret, Lovisedal",6620830,693862,6620768,1648612,RT90,Mycket bra,UI040667 D-08-19 +,V2008-1831,,2-0188,Norrtälje (S),2-01,Stockholms län (S)
M004837,D061837,Varg,Skyddsjakt,,2008.12.15,Nej,12:30,Vuxen,Ja,Nej,Hane,7,7,SVA,"43,6",,,Nej,Ja,2008.12.15,Laboratorium,Dokumenterad,,Grytåsarna,6540954,470515,6543576,1424238,RT90,Mycket bra,UI040284 D-08-20 +,V2008-2011,,2-1862,Degerfors (S),2-18,Örebro län (S)
M004839,D061839,Varg,Skyddsjakt,,2009.01.25,Nej,,Vuxen,Ja,Nej,Hona,3,3,SVA,39,,,Nej,Ja,2009.01.25,Laboratorium,Dokumenterad,,Hästbroberget,6636421,439785,6639454,1394653,RT90,Mycket bra,UI040329 D-09-22 +,V2009-0185,,2-1782,Filipstad (S),2-17,Värmlands län (S)
M004840,D061840,Varg,Skyddsjakt,,2009.02.07,Nej,16:10,Vuxen,Ja,Nej,Hona,3,3,SVA,39,,,Nej,Ja,2009.02.07,Laboratorium,Dokumenterad,,Nedre Trästickeln,6482930,312972,6487420,1265920,RT90,Mycket bra,UI040609 D-09-23 +,V2009-0295,,2-1430,Munkedal (S),2-14,Västra Götalands län (S)
M004842,D061842,Varg,Skyddsjakt,,2009.02.28,Nej,09:10,Vuxen,Ja,Nej,Hane,3,3,SVA,"34,6",,,Nej,Ja,2009.02.28,Laboratorium,Dokumenterad,,Stor-Bäckliden,7119799,754663,7119040,1715620,RT90,Mycket bra,UI040760 D-09-25 +,V2009-0684,,2-2480,Umeå (S),2-24,Västerbottens län (S)
M004843,D061843,Varg,Skyddsjakt,,2009.04.29,Nej,16:10,Vuxen,Ja,Nej,Hane,1,1,SVA,41,,,Nej,Ja,2009.04.29,Laboratorium,Dokumenterad,,"Nordvästra delen av Nås, nära Rv till Vansbro",6705215,470579,6707900,1426300,RT90,Mycket bra,UI040031 D-09-27 +,V2009-0810,,2-2021,Vansbro (S),2-20,Dalarnas län (S)
M004845,D061845,Varg,Skyddsjakt,,2009.06.12,Nej,00:50,Vuxen,Ja,Nej,Hane,4,4,SVA,44,,,Nej,Ja,2009.06.12,Laboratorium,Dokumenterad,,Lunda-Olstorp,6516434,598082,6517510,1551550,RT90,Mycket bra,UI040118 D-09-32 +,V2009-0962,,2-0480,Nyköping (S),2-04,Södermanlands län (S)
M404391,D407288,Varg,Skyddsjakt,,2009.06.30,Nej,,Vuxen,Nej,Nej,Hane,1,1,NINA,"36,2",,,Nej,Nej,2009.06.30,Fältkontroll - SNO,Dokumenterad,,Hårenndalen,6862677,291491,6867506,1248928,WGS84-UTM Zon 33,Mindre bra,UI400900 D-09-33 V264 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M404392,D407309,Varg,Skyddsjakt,,2009.07.02,Nej,,Vuxen,Nej,Nej,Hona,1,1,NINA,"34,4",,,Ja,Nej,2009.07.02,Fältkontroll - SNO,Dokumenterad,,Bergmillom,6855844,225769,6861545,1183095,WGS84-UTM Zon 32,Mindre bra,UI400896 D-09-34 V282 +,,,1-3436,Nord-Fron (N),1-34,Innlandet (N)
M404397,D407338,Varg,Skyddsjakt,,2009.07.16,Nej,23:54,Vuxen,Nej,Nej,Hane,2,2,NINA,38,,,Ja,Nej,2009.07.16,Fältkontroll - SNO,Dokumenterad,,Flakkhøa,6856891,225756,6862592,1183095,WGS84-UTM Zon 32,Mindre bra,UI400617 D-09-42 V262 +,,,1-3436,Nord-Fron (N),1-34,Innlandet (N)
M404443,D408954,Varg,Jakt - Kula,,2009.12.06,Nej,14:15,Vuxen,Nej,Nej,Hane,2,2,NINA,"45,5","0,00",,Ja,Ja,2009.12.06,Laboratorium,Dokumenterad,578098100168140,Øvre Reset,6835488,296641,6840297,1253747,WGS84-UTM Zon 32,Mindre bra,UI400910 M-09-11 0911 V297 +,,,1-3424,Rendalen (N),1-34,Innlandet (N)
M404444,D408958,Varg,Jakt - Kula,,2009.12.09,Nej,14:24,Vuxen,Nej,Nej,Hona,2,2,NINA,"34,5","0,00",,Ja,Ja,2009.12.09,Fältkontroll - SNO,Dokumenterad,578098100169574,Rokksætra Ø,6839457,292608,6844262,1249758,WGS84-UTM Zon 32,Mindre bra,,,,1-3423,Stor-Elvdal (N),1-34,Innlandet (N)
M004847,D061847,Varg,Skyddsjakt,,2009.12.10,Nej,,Vuxen,Ja,Nej,Hane,1,1,SVA,41,,,Nej,Ja,2009.12.10,Laboratorium,Dokumenterad,,Önusträsket,7257273,764690,7256400,1727400,RT90,Mycket bra,UI400884 D-09-38 V277 +,V2009-2082,,2-2581,Piteå (S),2-25,Norrbottens län (S)
M004848,D061848,Varg,Skyddsjakt,,2009.12.21,Nej,13:37,Unge,Ja,Ja,Hane,0,0,SVA,"31,4",,,Nej,Ja,2009.12.21,Laboratorium,Dokumenterad,,Mellan N. Lövön och östra stranden Öjsjön,6820160,400206,6823760,1357313,RT90,Mycket bra,UI040474 D-09-40 +,V2009-2088,,2-2039,Älvdalen (S),2-20,Dalarnas län (S)
M404447,D409004,Varg,Skyddsjakt,,2009.12.21,Nej,12:30,Vuxen,Nej,Nej,Hane,2,2,NINA,43,,,Nej,Nej,2009.12.21,Inte kontrollerad,Dokumenterad,,"Bangsjø, midtre",7133983,352856,7138204,1313739,WGS84-UTM Zon 33,Mycket bra,UI400914 G52-09 V306 +,,,1-5041,Snåase - Snåsa (N),1-50,Trøndelag (N)
M004838,D061838,Varg,Skyddsjakt,,2009.12.25,Nej,11:52,Vuxen,Ja,Nej,Hane,1,1,SVA,"38,2",,,Nej,Ja,2009.12.25,Laboratorium,Dokumenterad,,Galtjärnåsen,6934476,382001,6938356,1340521,RT90,Mycket bra,UI040119 D-09-41 +,V2010-0001,,2-2361,Härjedalen (S),2-23,Jämtlands län (S)
M004849,D061849,Varg,Licensjakt,,2010.01.02,Nej,12:20,Unge,Ja,Ja,Hane,0,0,SVA,35,,,Nej,Ja,2010.01.02,Laboratorium,Dokumenterad,,Öster Uvberg,6769859,491475,6772311,1447998,RT90,Mycket bra,UI040120 D-10-14 +,V2010-0004,,2-2034,Orsa (S),2-20,Dalarnas län (S)
M004850,D061850,Varg,Licensjakt,,2010.01.02,Nej,10:25,Unge,Ja,Ja,Hona,0,0,SVA,24,,,Nej,Ja,2010.01.02,Laboratorium,Dokumenterad,,Långåsberget,6732335,478502,6734933,1434558,RT90,Mycket bra,UI040196 D-10-15 +,V2010-0005,,2-2029,Leksand (S),2-20,Dalarnas län (S)
M004851,D061851,Varg,Licensjakt,,2010.01.02,Nej,13:30,Unge,Ja,Ja,Hane,0,0,SVA,29,,,Nej,Ja,2010.01.02,Laboratorium,Dokumenterad,,Stöjsåsen,6777612,515447,6779772,1472074,RT90,Mycket bra,UI040132 D-10-16 +,V2010-0006,,2-2031,Rättvik (S),2-20,Dalarnas län (S)
M004852,D061852,Varg,Licensjakt,,2010.01.02,Nej,14:00,Unge,Ja,Ja,Hona,0,0,SVA,30,,,Nej,Ja,2010.01.02,Laboratorium,Dokumenterad,,Bruskölen,6693145,444780,6696141,1400343,RT90,Mycket bra,UI040090 D-10-17 +,V2010-0007,,2-2021,Vansbro (S),2-20,Dalarnas län (S)
M004853,D061853,Varg,Licensjakt,,2010.01.02,Nej,10:40,Vuxen,Ja,Nej,Hona,2,2,SVA,28,,,Nej,Ja,2010.01.02,Laboratorium,Dokumenterad,,Långåsberget,6731786,478567,6734383,1434617,RT90,Mycket bra,UI040197 D-10-18 +,V2010-0008,,2-2029,Leksand (S),2-20,Dalarnas län (S)
M004854,D061854,Varg,Licensjakt,,2010.01.02,Nej,10:45,Vuxen,Ja,Nej,Hane,2,2,SVA,47,,,Nej,Ja,2010.01.02,Laboratorium,Dokumenterad,,Näverberget,6741601,518222,6743714,1474406,RT90,Mycket bra,UI040716 D-10-19 +,V2010-0009,,2-2029,Leksand (S),2-20,Dalarnas län (S)
M004855,D061855,Varg,Licensjakt,,2010.01.02,Nej,13:30,Vuxen,Ja,Nej,Hona,6,6,SVA,38,,,Nej,Ja,2010.01.02,Laboratorium,Dokumenterad,,Uvberget,6773407,516278,6775555,1472853,RT90,Mycket bra,UI040385 D-10-20 V160 +,V2010-0010,,2-2031,Rättvik (S),2-20,Dalarnas län (S)
M004856,D061856,Varg,Licensjakt,,2010.01.02,Nej,13:30,Unge,Ja,Ja,Hane,0,0,SVA,42,,,Nej,Ja,2010.01.02,Laboratorium,Dokumenterad,,Liden,6731162,454187,6734058,1410220,RT90,Mycket bra,UI040490 D-10-21 +,V2010-0011,,2-2062,Mora (S),2-20,Dalarnas län (S)
M004857,D061857,Varg,Licensjakt,,2010.01.02,Nej,10:45,Vuxen,Ja,Nej,Hane,7,7,SVA,"53,5",,,Nej,Ja,2010.01.02,Laboratorium,Dokumenterad,,Långsjöberget,6688992,468144,6691700,1423665,RT90,Mycket bra,UI400331 M-05-05 0505 V201 +,V2010-0012,,2-2021,Vansbro (S),2-20,Dalarnas län (S)
M004860,D061860,Varg,Licensjakt,,2010.01.02,Nej,08:47,Unge,Ja,Ja,Hane,0,0,SVA,35,,,Nej,Ja,2010.01.02,Laboratorium,Dokumenterad,,Gränsjön,6642514,482393,6645031,1437352,RT90,Mycket bra,UI040204 D-10-24 +,V2010-0019,,2-1863,Hällefors (S),2-18,Örebro län (S)
M004861,D061861,Varg,Licensjakt,,2010.01.02,Nej,11:50,Vuxen,Ja,Nej,Hane,3,3,SVA,"48,5",,,Nej,Ja,2010.01.02,Laboratorium,Dokumenterad,,"Myckengräs, Skålheden",6677357,395085,6680954,1350432,RT90,Mycket bra,UI040302 D-10-25 +,V2010-0020,,2-1737,Torsby (S),2-17,Värmlands län (S)
M004863,D061863,Varg,Licensjakt,,2010.01.02,Nej,14:30,Vuxen,Ja,Nej,Hane,3,3,SVA,50,,,Nej,Ja,2010.01.02,Laboratorium,Dokumenterad,,"Svingsjön, S Kullön",6507772,335940,6512000,1289200,RT90,Mycket bra,UI040340 D-10-27 +,V2010-0022,,2-1439,Färgelanda (S),2-14,Västra Götalands län (S)
