RovbaseID,DNAID,Art,Dødsårsak,"Dødsårsak, annet",Dødsdato,Usikker dødsdato,Dødstidspunkt,Alder på dødt individ,Aldersklasse verifisert SVA,Yngling,Kjønn,"Alder, vurdert","Alder, verifisert","Alder, verifisert av",Helvekt,Slaktevekt,CITES-nummer,Kontroll av fellingsted,Vevsprøve tatt,Observasjons/Jaktdato,Kontrollstatus,Vurdering,Microchip,Funnsted,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Individ,SVAID,Länsstyrelsens nr,Kommunenummer,Kommune,Fylkenummer,Fylke
M406991,D433939,Varg,Skyddsjakt,,2014.05.10,Nej,18:05,Vuxen,Nej,Nej,Hona,1,1,NINA,29,"0,00",,Nej,Nej,2014.05.10,Laboratorium,Dokumenterad,578098100341142,,6852181,228001,6857935,1185411,WGS84-UTM Zon 32,Mindre bra,UI404249 G147-14 V515 +,,,1-3436,Nord-Fron (N),1-34,Innlandet (N)
M407017,D434266,Varg,Skyddsjakt,,2014.05.10,Nej,,Vuxen,Ja,Nej,Hane,1,1,SVA,"0,00","0,00",,Nej,Nej,2014.05.10,Laboratorium,Dokumenterad,,Lövberget,6975888,423681,6979264,1382738,RT90,Exakt,UI404192 G100-14 +,V2014-1208,,2-2326,Berg (S),2-23,Jämtlands län (S)
M407022,D434326,Varg,Skyddsjakt,,2014.05.15,Nej,18:25,Vuxen,Nej,Nej,Hona,1,1,NINA,33,"0,00",,Ja,Ja,2014.05.15,Laboratorium,Dokumenterad,578098100339357,Slomba ved Lemonsjøen,6861950,188846,6868196,1146351,WGS84-UTM Zon 32,Mindre bra,UI404085 G150-13 V514 +,,,1-3435,Vågå (N),1-34,Innlandet (N)
M407048,D435140,Varg,Skyddsjakt,,2014.06.05,Nej,22:10,Vuxen,Nej,Nej,Hane,1,1,NINA,47,"0,00",,Ja,Ja,2014.06.05,Laboratorium,Dokumenterad,578098100346593,Hundeidvik,6946050,61848,6953944,1020310,WGS84-UTM Zon 32,Mindre bra,UI404087 G152-13 V513 +,,,1-1528,Sykkylven (N),1-15,Møre og Romsdal (N)
M407053,D435290,Varg,Skyddsjakt,,2014.06.09,Nej,03:10,Vuxen,Nej,Nej,Hona,1,1,NINA,"39,5","0,00",,Ja,Ja,2014.06.09,Laboratorium,Dokumenterad,578098100339045,Harasjøen,6730046,305479,6734769,1261426,WGS84-UTM Zon 32,Mindre bra,UI403999 G2-14 V517 +,,,1-3413,Stange (N),1-34,Innlandet (N)
M407056,D435559,Varg,Skyddsjakt,,2014.06.20,Nej,02:05,Vuxen,Nej,Nej,Hane,1,1,NINA,"43,8","0,00",,Ja,Ja,2014.06.20,Laboratorium,Dokumenterad,578098100337849,Gammeldalen,6913440,290938,6918446,1249149,WGS84-UTM Zon 32,Mindre bra,UI404252 G149-14 V516 +,,,1-3427,Tynset (N),1-34,Innlandet (N)
M407068,D435898,Varg,Skyddsjakt,,2014.07.27,Nej,03:00,Vuxen,Ja,Nej,Hona,1,1,SVA,"37,00","0,00",,Ja,Nej,2014.07.27,Laboratorium,Dokumenterad,,Södra Veckebo,6852394,538360,6854295,1495919,WGS84-UTM Zon 33,Mindre bra,UI404108 G67-14 +,V2014-1324,,2-2161,Ljusdal (S),2-21,Gävleborgs län (S)
M407346,D440681,Varg,Skyddsjakt,,2014.09.24,Nej,20:30,Vuxen,Ja,Nej,Hona,1,1,SVA,"35,00","0,00",,Nej,Nej,2014.09.24,Laboratorium,Dokumenterad,,,6587072,439699,6590085,1393967,RT90,Exakt,UI404082 G53-14 +,V2014-2195,,2-1781,Kristinehamn (S),2-17,Värmlands län (S)
M407373,D441086,Varg,Skyddsjakt,,2014.10.02,Nej,07:15,Vuxen,Ja,Nej,Hane,3,3,SVA,"46,00","0,00",,Nej,Nej,2014.10.02,Laboratorium,Dokumenterad,,Visseltofta,6253042,432614,6255994,1382894,RT90,Mindre bra,UI040585 G65-13 +,V2014-2096,,2-1273,Osby (S),2-12,Skåne län (S)
M407418,D442046,Varg,Skyddsjakt,,2014.10.06,Nej,16:00,Vuxen,Ja,Nej,Hane,1,1,SVA,"49,00","0,00",,Ja,Nej,2014.10.06,Laboratorium,Dokumenterad,,Galberget,6965031,436999,6968236,1395926,RT90,Exakt,UI404478 G111-14 V493 +,V2014-2162,,2-2326,Berg (S),2-23,Jämtlands län (S)
M407413,D442015,Varg,Skyddsjakt,,2014.11.06,Nej,,Vuxen,Ja,Nej,Hane,1,1,SVA,"44,00","0,00",,Nej,Nej,2014.11.06,Laboratorium,Dokumenterad,,,6945518,431407,6948785,1390087,RT90,Mindre bra,UI404099 G63-14 V502 +,V2015-0385,,2-2361,Härjedalen (S),2-23,Jämtlands län (S)
M407452,D442428,Varg,Jakt - Kula,,2014.12.13,Nej,11:00,Vuxen,Nej,Nej,Hane,1,1,NINA,42,"0,00",,Ja,Ja,2014.12.13,Laboratorium,Dokumenterad,578098100341959,Svarttjenn,6721256,301151,6726026,1256988,WGS84-UTM Zon 32,Mindre bra,UI404041 G26-14  V560 +,,,1-3413,Stange (N),1-34,Innlandet (N)
M407454,D442431,Varg,Jakt - Kula,,2014.12.16,Nej,14:30,Vuxen,Nej,Nej,Hane,1,1,NINA,41,"0,00",,Ja,Ja,2014.12.16,Laboratorium,Dokumenterad,578098100345175,Espeland,6860281,16868,6868668,974221,WGS84-UTM Zon 32,Mindre bra,UI404162 G85-14 V519 +,,,1-4647,Sunnfjord (N),1-46,Vestland (N)
M407490,D442776,Varg,Skyddsjakt,,2014.12.16,Nej,,Vuxen,Ja,Nej,Hona,1,1,SVA,"37,00","0,00",,Nej,Nej,2014.12.16,Laboratorium,Dokumenterad,,Norr om Knittarna,6853804,370102,6857793,1327612,RT90,Exakt,UI404100 G64-14 +,V2014-2687,,2-2039,Älvdalen (S),2-20,Dalarnas län (S)
M407455,D442444,Varg,Skyddsjakt,,2014.12.17,Nej,12:30,Vuxen,Ja,Nej,Hane,1,1,SVA,"52,00","0,00",,Nej,Nej,2014.12.17,Laboratorium,Dokumenterad,,Lappträskberget,7323643,766220,7322757,1729782,RT90,Exakt,UI404030 G16-14 +,V2015-0139,,2-2582,Boden (S),2-25,Norrbottens län (S)
M407469,D442563,Varg,Skyddsjakt,,2014.12.30,Nej,10:00,Vuxen,Ja,Nej,Hona,2,2,SVA,"36,00","0,00",,Nej,Nej,2014.12.30,Laboratorium,Dokumenterad,Skinn 0007B55B83,Dalskog,6512534,340525,6516710,1293845,RT90,Mindre bra,UI040811 G48-13 V450 +,V2015-0002,,2-1461,Mellerud (S),2-14,Västra Götalands län (S)
M407468,D442558,Varg,Skyddsjakt,,2014.12.31,Nej,13:00,Vuxen,Nej,Nej,Hane,1,1,NINA,43,"0,00",,Nej,Nej,2014.12.31,Laboratorium,Dokumenterad,578098100341460,Fullsenn,6796718,202688,6802749,1159394,WGS84-UTM Zon 32,Exakt,UI404114 G73-14 V553 +,,,1-3451,Nord-Aurdal (N),1-34,Innlandet (N)
M407501,D442854,Varg,Licensjakt,,2015.01.16,Nej,14:05,Unge,Ja,Nej,Hane,0,0,SVA,"41,80","0,00",,Nej,Ja,2015.01.16,Laboratorium,Dokumenterad,00072ED229,Gåstjärn,6690008,381308,6693780,1336804,RT90,Mindre bra,UI404964 G37-15 +,V2015-0169,VS052015PL,2-1737,Torsby (S),2-17,Värmlands län (S)
M407502,D442855,Varg,Licensjakt,,2015.01.16,Nej,09:40,Unge,Ja,Nej,Hane,0,0,SVA,"28,80","0,00",,Ja,Ja,2015.01.16,Laboratorium,Dokumenterad,00072EAA38,Skacksjödalen,6620648,403630,6624114,1358290,RT90,Mindre bra,UI404966 G39-15 +,V2015-0172,,2-1766,Sunne (S),2-17,Värmlands län (S)
M407505,D442864,Varg,Licensjakt,,2015.01.16,Nej,12:55,Unge,Ja,Ja,Hona,0,0,SVA,"22,00","0,00",,Nej,Ja,2015.01.16,Laboratorium,Dokumenterad,00072BF49F,Vändträsmossen,6602430,487447,6604870,1441921,RT90,Mindre bra,UI404962 G33-15 +,V2015-0164,,2-1884,Nora (S),2-18,Örebro län (S)
