HändelseID,Individ,Fynddatum,Undersökt,Undersökt datum,Datum mottaget,Skada på,Ange vad som skadats,Ras,Ange ras,"Skadedatum, från","Skadedatum, till",Osäkert skadedatum,Antal döda under 1 år,Antal avlivade under 1 år,Antal skadade under 1 år,Antal saknade under 1 år,Antal döda 1 till 2 år,Antal avlivade 1 till 2 år,Antal skadade 1 till 2 år,Antal saknade 1 till 2 år,Antal döda över 2 år,Antal avlivade över 2 år,Antal skadade över 2 år,Antal saknade över 2 år,Antal döda körren,Antal avlivade körren,Antal skadade körren,Antal saknade körren,Skadeomfattning antal (inte djur),Skadeorsak,Ange skadeorsak,Betestyp,Kontrolltyp,Bedömning,KommunID,Fyndplats,Nord (UTM33/SWEREF99 TM),Öst (UTM33/SWEREF99 TM),Nord (RT90),Öst (RT90),Koordinatsystem,Platskvalitet,Godkänd datum,Visa publikt,Uppgifterna tillgängliga från,Låst,Låst datum,Senast sparad datum,Kommunenummer,Kommune,Fylkenummer,Fylke
V446168,,2013.01.01,Ja,,,Ren,,,,2013.01.31,2013.01.31,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Aspberget,7087340,603801,7088486,1564321,RT90,Mindre bra,2013.01.01,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446169,,2013.01.01,Ja,2013.01.01,,Ren,,,,2013.01.01,2013.01.01,Ja,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Aspberget,7086636,604042,7087779,1564553,RT90,Mindre bra,2013.02.16,Ja,,Nej,,2013.02.16,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446170,,2013.01.22,Ja,2013.01.22,2013.01.22,Ren,,,,2013.02.21,2013.02.21,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2463,Tallås,7091046,611602,7092094,1572171,RT90,Exakt,2013.02.16,Ja,,Nej,,2013.02.16,2-2463,Åsele (S),2-24,Västerbottens län (S)
V446189,,2013.01.29,Ja,2013.01.29,2013.01.29,Ren,,,,2013.01.29,2013.01.29,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Matrialvägen,7078360,602417,7079521,1562823,RT90,Mindre bra,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446190,,2013.02.01,Ja,2013.02.01,2013.02.01,Ren,,,,2013.01.31,2013.01.31,Nej,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2463,Öster Hälla,7091901,612809,7092934,1573389,RT90,Mindre bra,2013.02.17,Ja,,Nej,,2013.02.17,2-2463,Åsele (S),2-24,Västerbottens län (S)
V446191,,2012.12.31,Ja,2012.12.31,2012.12.31,Ren,,,,2012.12.30,2012.12.30,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Hömyran,7086812,600599,7087998,1561112,RT90,Exakt,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446192,,2013.01.26,Ja,,,Ren,,,,2013.02.25,2013.02.25,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2463,Hällbymagasinet,7090414,608696,7091499,1569256,RT90,Exakt,2013.02.17,Ja,,Nej,,2013.02.17,2-2463,Åsele (S),2-24,Västerbottens län (S)
V446193,,2013.02.03,Ja,,,Ren,,,,2013.02.02,2013.02.02,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Grovansjön,7074700,606570,7075808,1566931,RT90,Mindre bra,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446194,,2013.02.12,Ja,2013.02.12,2013.02.12,Ren,,,,2013.02.11,2013.02.11,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Öst Kortingvattnet,7078343,596674,7079577,1557079,RT90,Mindre bra,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446195,,2013.02.17,Ja,,,Ren,,,,2013.02.17,2013.02.17,Nej,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Söder Degersjövägen,7077189,607065,7078291,1567458,RT90,Mindre bra,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446196,,2013.02.08,Ja,2013.02.08,2013.02.08,Ren,,,,2013.02.07,2013.02.07,Nej,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Grossbäcken,7071938,608382,7073022,1568709,RT90,Mindre bra,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
