"NAME_2","NAME_1","Autumn","sum_fate","n_territories","prop_disappearance","ruggedness_mean","average_gravel_km","average_paved_km","pop_mean","mean_snow","mean_artificial_area_total","hunt_county2","mean_fi","mean_maxfi","mean_number_neighbour_terr","mean_bear_density_BZtiff","wolfLKill_n","wolfLKill_last5y","sheepAttacks_n","NoAffectedSheep_last5y","AttackDogs_n","AttackDogs_last5y","IndividualIncome"
"Aurskog-Høland","Akershus",2015,0,1,0,0.339,1.13,0.67,0.320739776923051,65.296875,0.00149,-0.719878267256505,0.943648441881908,0.3106,3,0.115188242813995,NA,0,NA,0,NA,0,392600
"Aurskog-Høland","Akershus",2016,1,1,1,0.353,1.06,0.7,1.8354382919965,70.8352941176471,0.00149,-1.14791399373335,0.943648441881908,0.3106,3,-0.22385971959723,NA,0,NA,0,NA,0,400700
"Aurskog-Høland","Akershus",2018,1,2,0.5,0.3395,1.32,0.57,0.503091716661905,82.6186868686869,0.000745,-1.21925328147949,0.335983848335189,0.2643985,4.5,-0.522221926519108,NA,0,NA,0,NA,0,424300
"Aurskog-Høland","Akershus",2019,1,2,0.5,0.335,1.18,0.61,0.397124344975783,79.1380952380952,0.00149,-1.57594972021019,0.791579395842555,0.3106,4,0.299242850980089,NA,0,NA,0,NA,0,443400
"Bollnäs","Gävleborg",2001,0,1,0,0.212,1.22,0.19,1.80686120502531,82.093137254902,0,2.39908767933181,-0.0816724828436379,0.234375,0,-1.36170986047427,-0.393973643519563,0,-0.423699512149524,0,-0.869510429550315,0,211863
"Bollnäs","Gävleborg",2003,0,1,0,0.212,1.22,0.18,1.73815838730803,80.9272727272727,0,1.42318760638328,-0.0816724828436379,0.234375,0,-1.08999651770363,-0.393973643519563,0,-0.423699512149524,0,0.521706257730189,1,222547
"Bollnäs","Gävleborg",2004,0,2,0,0.205,1.24,0.235,-0.794777096292772,80.0807291666667,0.000535,0.121987509118567,-0.179189480617815,0.227051,1.5,-1.04509102964344,-0.393973643519563,0,-0.423699512149524,0,0.521706257730189,2,226706
"Bollnäs","Gävleborg",2005,0,1,0,0.205,1.31,0.22,0.0755501985497723,84.4166666666667,0.00043,-0.528612539513788,-0.0816724828436379,0.234375,1,-1.09171665788323,-0.393973643519563,0,-0.423699512149524,0,1.91292294501069,4,229848
"Bollnäs","Gävleborg",2006,0,1,0,0.211,1.3,0.23,0.0205879443759459,82.2311827956989,0.00027,-0.853912563829966,-0.0816724828436379,0.234375,0,-1.16463094275364,0.866742015743038,2,-0.423699512149524,0,-0.869510429550315,4,232861
"Bollnäs","Gävleborg",2007,0,1,0,0.204,1.32,0.22,-0.016236765920518,72.9166666666667,0.00043,-1.50451261246232,-0.0816724828436379,0.234375,1,-0.928008459646966,-0.393973643519563,2,-0.423699512149524,0,1.91292294501069,6,235788
"Bollnäs","Gävleborg",2008,0,1,0,0.212,1.28,0.23,-0.0343743097978805,84.171875,0.00027,-1.17921258814614,-0.276706478391993,0.234375,1,0.039830869751753,-0.393973643519563,2,-0.423699512149524,0,0.521706257730189,6,238813
"Bollnäs","Gävleborg",2009,0,1,0,0.212,1.3,0.23,-0.0711990200943444,80.828125,0.00027,-0.528612539513788,2.10278016677745,0.398438,1,-0.0871253048756628,-0.393973643519563,2,-0.423699512149524,0,-0.869510429550315,5,242732
"Bollnäs","Gävleborg",2010,0,2,0,0.208,1.13,0.19,-0.845067558861823,93.3802083333333,0,0.447287533434745,-0.182438271914497,0.226807,0,0.825531927561279,0.866742015743038,4,-0.423699512149524,0,-0.869510429550315,3,239000
"Bollnäs","Gävleborg",2011,0,2,0,0.204,1.12,0.18,-0.81758643177491,83.1029411764706,0,-0.528612539513788,-0.182438271914497,0.226807,3,0.755035668314777,-0.393973643519563,2,2.96589658504667,56,0.521706257730189,4,238825
"Bollnäs","Gävleborg",2012,0,2,0,0.205,1.15,0.18,-0.831326995318366,77.828125,0,0.447287533434745,-0.182438271914497,0.226807,1,0.225547032914527,-0.393973643519563,2,0.70616585358254,57,-0.869510429550315,2,244904
"Bollnäs","Gävleborg",2013,1,3,0.333333333333333,0.206,1.22333333333333,0.223333333333333,0.200131308010446,80.2681129168025,0.000233333333333333,0.447287533434745,0.64973162989955,0.289307,2.66666666666667,0.468925571355197,-0.393973643519563,2,-0.423699512149524,57,-0.869510429550315,1,249868
"Bollnäs","Gävleborg",2015,1,2,0.5,0.199,1.25,0.24,-1.23447512968338,78.0274621212122,0.00056,0.772587557750923,2.31407143352765,0.414307,3.5,1.13414964921383,-0.393973643519563,0,-0.423699512149524,57,0.521706257730189,3,256914
"Bollnäs","Gävleborg",2017,0,1,0,0.204,1.16,0.17,-0.597737415079603,81.8823529411765,0,-0.203312515197611,-1.35145723526444,0.139008,1,0.451219595106447,3.38817333426824,6,-0.423699512149524,0,0.521706257730189,5,268696
"Bollnäs","Gävleborg",2018,0,1,0,0.198,1.12,0.18,-0.542775160905777,83.1515151515152,0,0.121987509118567,-1.35145723526444,0.139008,1,1.83513626052084,-0.393973643519563,6,-0.423699512149524,0,-0.869510429550315,5,270087
"Bollnäs","Gävleborg",2019,0,1,0,0.213,1.26,0.23,1.94426684045987,86.7083333333333,0.00027,-0.853912563829966,-0.952095570704274,0.169002,3,1.03290219824219,-0.393973643519563,6,1.8360312193146,11,-0.869510429550315,4,271552
"Borlänge","Dalarna",2013,0,1,0,0.242,1.43,0.36,-0.638407019407289,80.3774509803922,0.01199,-0.999999999999998,0.577350269189626,0.429688,2,-0.408995539959307,NA,0,1.15470053837925,1,NA,2,267237
"Borlänge","Dalarna",2015,0,1,0,0.277,1.29,0.27,-0.514059568908762,72.469696969697,0.00133,0,0.577350269189626,0.429688,4,-0.730671726004922,NA,0,-0.577350269189626,1,NA,3,280598
"Borlänge","Dalarna",2017,1,1,1,0.207,1.54,0.49,1.15246658831605,71.2395833333333,0.01876,1,-1.15470053837925,0.141052,1,1.13966726596423,NA,0,-0.577350269189626,3,NA,2,288749
"Dals-Ed","Västra Götaland",2000,0,2,0,0.403,1.19,0.37,-0.883418336977697,48.5421875,0.00165,1.31868153923788,0.408248290463859,0.234375,0,NA,NA,0,-0.761386987626881,0,-0.408248290463863,0,203664
"Dals-Ed","Västra Götaland",2001,0,2,0,0.407,1.17,0.38,-0.411147045864944,67.5721275252525,0.00164,0.48583004077185,0.408248290463859,0.234375,0,NA,NA,0,-0.761386987626881,0,-0.408248290463863,0,202031
"Dals-Ed","Västra Götaland",2002,0,2,0,0.377,1.19,0.39,-1.07198086712894,64.875,0.00376,0.48583004077185,0.408248290463859,0.234375,0,NA,NA,0,1.52277397525376,23,-0.408248290463863,0,209205
"Dals-Ed","Västra Götaland",2003,1,2,0.5,0.398,1.19,0.38,0.323208862843343,59.7788306451613,0.00164,0.0694042915388373,0.408248290463859,0.234375,0,NA,NA,0,0.951733734533601,37,2.04124145231932,1,217020
"Dals-Ed","Västra Götaland",2004,0,1,0,0.347,1.23,0.39,0.426139785265352,70.0416666666667,0.00165,-1.17987295616021,0.408248290463859,0.234375,1,NA,NA,0,-0.19034674690672,40,-0.408248290463863,1,219086
"Dals-Ed","Västra Götaland",2016,0,1,0,0.398,1.19,0.38,1.61719760186289,65.6,0.00164,-1.17987295616021,-2.04124145231932,0.231424,0,NA,NA,0,-0.761386987626881,34,-0.408248290463863,2,256067
"Degerfors","Orebro",2002,0,1,0,0.16,1.29,0.35,-0.320278047620628,55.3529235382309,0.00319,1.41015110953209,-1.24318142238359,0.304688,0,NA,-0.353553390593274,0,-0.540061724867322,0,-0.504016128774185,0,229089
"Degerfors","Orebro",2003,0,1,0,0.161,1.32,0.33,-0.366147692182976,56.1283333333333,0.00378,1.2708769258746,-1.24318142238359,0.304688,0,NA,-0.353553390593274,0,-0.540061724867322,0,-0.504016128774185,0,232709
"Degerfors","Orebro",2006,0,1,0,0.168,1.34,0.34,-0.00782482171945834,75.8166666666667,0.00382,0.0174092729571859,0.724160737916311,0.433594,0,NA,-0.353553390593274,0,1.62018517460197,1,-0.504016128774185,0,240774
"Degerfors","Orebro",2007,0,1,0,0.161,1.3,0.34,-0.0709630383523375,46.8870689655172,0.00313,-0.678961645330266,0.724160737916311,0.433594,1,NA,-0.353553390593274,0,-0.540061724867322,1,2.1840698913548,2,244773
"Degerfors","Orebro",2009,0,1,0,0.161,1.31,0.33,-0.674823417943715,74.7363984674329,0.00357,-0.400413278015285,0.724160737916311,0.433594,0,NA,-0.353553390593274,0,-0.540061724867322,1,0.840026881290309,6,250151
"Degerfors","Orebro",2010,0,1,0,0.16,1.3,0.35,-0.720693062506064,78.5919540229885,0.0032,-0.121864910700305,0.724160737916311,0.433594,0,NA,2.47487373415292,1,1.62018517460197,2,-0.504016128774185,6,244126
"Degerfors","Orebro",2011,1,1,1,0.164,1.33,0.35,-0.232855901513565,76.1111111111111,0.00408,0.156683456614676,0.724160737916311,0.433594,1,NA,-0.353553390593274,1,-0.540061724867322,1,-0.504016128774185,6,240803
"Degerfors","Orebro",2017,1,1,1,0.189,1.46,0.36,2.39358598183875,60.6808429118774,0.00457,-1.6538809309327,-1.13444084481438,0.311813,4,NA,-0.353553390593274,0,-0.540061724867322,4,-0.504016128774185,0,268918
"Eda","Värmland",2002,0,1,0,0.339,1.22,0.32,-1.09611503824243,75.26875,0.00026,1.43285027508128,0.474413518079796,0.234375,1,1.82070108973226,-0.377964473009227,0,-0.377964473009227,0,NA,0,205655
"Eda","Värmland",2003,0,1,0,0.342,1.2,0.31,-1.06077035064253,73.5125,0.00013,1.43285027508128,0.474413518079796,0.234375,0,-0.682357859932442,-0.377964473009227,0,-0.377964473009227,0,NA,0,207411
"Eda","Värmland",2014,1,2,0.5,0.33,1.34,0.35,-0.722363767239254,64.2642809139785,0.00031,-0.211404138946418,-0.296184317496519,0.293274,2,-0.676786663542091,-0.377964473009227,1,-0.377964473009227,10,NA,0,224435
"Eda","Värmland",2016,0,1,0,0.312,1.41,0.59,0.738048643803342,69.63125,0.00287,-0.869105904557497,-0.381468206505676,0.214123,3,-0.406583638610083,-0.377964473009227,0,-0.377964473009227,1,NA,2,270097
"Eda","Värmland",2017,1,2,0.5,0.309,1.4,0.57,0.274807631855742,69.953125,0.00287,-0.704680463154727,-1.96870788017341,0.214123,3,-0.531537614793662,2.26778683805536,1,2.26778683805536,6,NA,2,269018
"Eda","Värmland",2018,0,1,0,0.311,1.39,0.57,0.304888217047144,83.1927083333333,0.00287,-0.622467742453342,0.848766684008006,0.243233,5,-0.536312925985392,-0.377964473009227,1,-0.377964473009227,6,NA,2,274406
"Eda","Värmland",2019,1,1,1,0.317,1.41,0.61,1.56150466341799,78.7135416666667,0.00287,-0.458042301050573,0.848766684008006,0.243233,5,1.01287761313141,-0.377964473009227,1,-0.377964473009227,6,NA,2,278143
"Eidskog","Hedmark",2010,1,1,1,0.309,1.79,0.59,0.262752281450267,84.0052083333333,0.00179,1.25724989196128,0.113827619350889,0.256958,1,-0.006137472349151,NA,0,NA,0,NA,0,281200
"Eidskog","Hedmark",2013,1,1,1,0.3,1.68,0.51,0.555085945580364,82.3541666666667,0,0.163989116342776,0.503663806137486,0.286621,0,-1.30114413802002,NA,0,NA,0,NA,0,318600
"Eidskog","Hedmark",2014,0,1,0,0.302,1.67,0.51,0.660756339324359,66.2114305750351,0,-0.273315193904626,0.818799899012644,0.3106,2,1.12929491224379,NA,0,NA,0,NA,0,329700
"Eidskog","Hedmark",2016,2,2,1,0.325,1.62,0.46,-1.47859456635499,74.34375,0,-1.14792381439943,-1.43629132450102,0.139008,4,0.17798669812538,NA,0,NA,0,NA,0,355100
"Elverum","Hedmark",2002,0,1,0,0.201,1.17,0.31,2.38938805640624,98.1771428571429,0.0029,1.1378608797501,-0.442918725121377,0.269531,1,-1.66785716643247,-0.474341649025257,0,NA,0,NA,0,235600
"Elverum","Hedmark",2008,0,1,0,0.192,1.35,0.35,-0.124111496324051,85.09375,0.00234,1.602293891893,1.27887832144069,NA,1,-0.885697685321187,-0.474341649025257,1,NA,0,NA,0,306900
"Elverum","Hedmark",2012,0,1,0,0.194,1.11,0.33,-0.529893640425841,86.2395833333333,0.00149,0.90564437367865,0.251096602014148,0.279175,2,1.66700357781824,-0.474341649025257,0,NA,0,NA,0,351600
"Elverum","Hedmark",2013,0,1,0,0.194,1.12,0.35,-0.519410181914525,82.890625,0.00149,0.673427867607201,0.251096602014148,0.279175,1,0.637041561582523,1.89736659610103,1,NA,0,NA,0,364500
"Elverum","Hedmark",2014,0,1,0,0.196,1.13,0.31,-0.506938481271753,79.9347872495815,0.00213,-0.0232216506071444,0.251096602014148,0.279175,2,-0.17234896734463,-0.474341649025257,1,NA,0,NA,0,376500
"Elverum","Hedmark",2015,0,1,0,0.191,1.02,0.28,-0.496635772045115,80.375,6e-04,-0.487654662750042,0.251096602014148,0.279175,4,0.0459183543795143,-0.474341649025257,1,NA,0,NA,0,391300
"Elverum","Hedmark",2016,0,1,0,0.192,1.1,0.35,-0.487236809241867,79.7878787878788,0.00149,-0.952087674892939,0.251096602014148,0.279175,2,-0.376791295562254,-0.474341649025257,1,NA,0,NA,0,395200
"Elverum","Hedmark",2017,0,1,0,0.192,1.08,0.3,-0.480006837854753,85.6927083333333,0.00149,-0.952087674892939,0.251096602014148,0.279175,3,-0.800967232694108,-0.474341649025257,1,NA,0,NA,0,407200
"Elverum","Hedmark",2018,0,1,0,0.192,1.08,0.3,-0.479464590000719,83.8020833333333,0.00149,-0.952087674892939,0.251096602014148,0.279175,3,0.440140138913909,-0.474341649025257,0,NA,0,NA,0,419200
"Elverum","Hedmark",2019,2,4,0.5,0.1795,1.2375,0.44,1.23430975267239,83.5428921568627,0.0035675,-0.952087674892939,-2.59363581041836,0.283405,4.5,1.11355871466046,1.89736659610103,1,NA,0,NA,0,433800
"Enebakk","Akershus",2012,0,2,0,0.398,1.19,1.75,-1.21960350393257,69.2280092592593,0.03968,1.34164078649987,-0.676104928214437,0.2665405,1,-0.47733469159234,NA,0,NA,0,NA,0,389500
"Enebakk","Akershus",2013,1,2,0.5,0.4,1.17,1.6,-0.777296732467188,76.7760416666667,0.03636,0.670820393249936,-1.37670228432544,0.256958,0,-0.47733469159234,NA,0,NA,0,NA,0,405800
"Enebakk","Akershus",2017,1,2,0.5,0.412,1.16,1.54,0.0599466442984811,69.8484848484848,0.03365,-0.223606797749979,0.284217915685244,0.423096,0,-0.47733469159234,NA,0,NA,0,NA,0,444900
"Enebakk","Akershus",2018,0,1,0,0.407,1.14,1.43,0.848291785022749,81.9646464646465,0.02358,-0.670820393249937,0.921971380679636,0.423096,2,-0.354310286542768,NA,0,NA,0,NA,0,455700
"Enebakk","Akershus",2019,1,1,1,0.401,1.16,1.54,1.08866180707853,77.6770833333333,0.03183,-1.1180339887499,0.846617916174996,0.423096,1,1.78631436131979,NA,0,NA,0,NA,0,467400
"Falun","Dalarna",2007,0,2,0,0.1795,1.28,0.25,0.0682444529948377,75.1119791666667,0.001925,0.960792542584508,-0.680133230394127,0.223389,0,-1.54820273101032,NA,0,-0.533357522431621,50,-0.82775026403106,4,260496
"Falun","Dalarna",2008,1,4,0.25,0.1855,1.285,0.285,0.057571992926141,81.9143781565656,0.00153,-0.227502673931214,-0.771405922991045,0.223389,1,-0.514273225320143,NA,0,-0.533357522431621,50,0.96570864136957,6,262687
