mod_id,id,sex,Country_fatefile,territory,Revir_Vinter,Autumn,Spring,Fate,confirmed.illegal,Radio.collar,Comment,geometry,NAME_1,NAME_2,KommunerNamn,SLU.ID,ruggedness_mean,average_gravel_km,average_paved_km,artificial_area_total,pop_mean,mean_snow,hunt_afo,hunt_county2,Fi,number_neighbour_terr,bear_density_BZtiff,mean_fi,max_fi,wolfLKill_cumall,wolfLKill_last5y,wolfLKill_n,NoAffectedSheep_cumall,NoAffectedSheep_last5y,NoAffectedSheep,sheepAttacks_n,AttackDogs_cumall,AttackDogs_last5y,AttackDogs_n,IndividualIncome,income_prop,year_average,first_yeardet,last_yeardet,years_firstdet,time_start,time_end
1276,M-09-01,M,S,Riala 1,Riala_1011,2010,2011,NA,NA,1,NA,"c(18.5121985615994, 59.6538395950359)",Stockholm,Norrtälje,norrtälje,M-09-01,0.252,1.31,0.48,0.01948,79.567,77.5967741935484,NA,1.9,0,0,0,0.133545,0.26709,1,1,0,17,17,0,0,1,1,1,253746,0.9858315230813429,257392.86486486485,2009,2011,1,1,2
1277,M-10-03,F,S,Riala 1,Riala_1011,2010,2011,NA,NA,1,NA,"c(18.5121985615994, 59.6538395950359)",Stockholm,Norrtälje,norrtälje,M-10-03,0.252,1.31,0.48,0.01948,79.567,77.5967741935484,NA,1.9,0.26709,0,0,0.133545,0.26709,1,1,0,17,17,0,0,1,1,1,253746,0.9858315230813429,257392.86486486485,2009,2011,1,1,2
1388,M-09-01,M,S,Riala 1,Riala_0910,2009,2010,NA,NA,1,NA,list(),Stockholm,Norrtälje,norrtälje,M-09-01,0.255,1.27,0.46,0.02052,78.467,71.0166666666667,NA,2.1,0,0,0,0.133545,0.26709,1,1,0,17,17,3,1,0,0,0,255530,0.9870787059391598,258875,2009,2011,0,0,1
1389,M-10-03,F,S,Riala 1,Riala_0910,2009,2010,NA,NA,1,NA,list(),Stockholm,Norrtälje,norrtälje,M-10-03,0.255,1.27,0.46,0.02052,78.467,71.0166666666667,NA,2.1,0.26709,0,0,0.133545,0.26709,1,1,0,17,17,3,1,0,0,0,255530,0.9870787059391598,258875,2009,2011,0,0,1
365,G253-17,F,S,Sjunda 2,Sjunda_1718,2017,2018,other,NA,0,trol skabb,"c(17.4330828204919, 59.0876147691032)",Stockholm,Södertälje,södertälje,G253-17,0.289,1.55,0.45,0.01412,70.783,51.6111111111111,1.7,1.9,0.393736,1,0,0.29538749999999997,0.393736,0,0,0,95,91,2,1,1,1,1,277840,0.9334814959669162,297638.46546546544,2017,2017,0,0,1
366,G26-16,M,S,Sjunda 2,Sjunda_1718,2017,2018,other,NA,0,"skabb, avlivad","c(17.4330828204919, 59.0876147691032)",Stockholm,Södertälje,södertälje,G26-16,0.289,1.55,0.45,0.01412,70.783,51.6111111111111,1.7,1.9,0.197039,1,0,0.29538749999999997,0.393736,0,0,0,95,91,2,1,1,1,1,277840,0.9334814959669162,297638.46546546544,2017,2017,0,0,1
681,G108-14,M,S,Sjunda 1,Sjunda_1516,2015,2016,illegal,NA,0,"Sjunda not registered by VSC in 1516 because they disappeared early in season, I used the coordinates for  1415",list(),Stockholm,Södertälje,södertälje,G108-14,0.28,1.6,0.49,0.01996,124.271,54.0392156862745,1.8,2.2,0.214912,0,0,0.180866,0.214912,0,0,0,85,81,81,13,0,0,0,264832,0.9249011842784288,286335.45345345343,2014,2015,1,1,2
682,G1-14,F,S,Sjunda 1,Sjunda_1516,2015,2016,legal,NA,0,NA,list(),Stockholm,Södertälje,södertälje,G1-14,0.28,1.6,0.49,0.01996,124.271,54.0392156862745,1.8,2.2,0.14682,0,0,0.180866,0.214912,0,0,0,85,81,81,13,0,0,0,264832,0.9249011842784288,286335.45345345343,2014,2015,1,1,2
788,G108-14,M,S,Sjunda 1,Sjunda_1415,2014,2015,NA,NA,0,NA,list(),Stockholm,Södertälje,södertälje,G108-14,0.28,1.59,0.49,0.01957,122.971,50.5899057656024,2,2.4,0.214912,0,0,0.180866,0.214912,0,0,0,4,0,0,0,0,0,0,256492,0.9277476413818561,276467.42342342343,2014,2015,0,0,1
789,G1-14,F,S,Sjunda 1,Sjunda_1415,2014,2015,NA,NA,0,NA,list(),Stockholm,Södertälje,södertälje,G1-14,0.28,1.59,0.49,0.01957,122.971,50.5899057656024,2,2.4,0.14682,0,0,0.180866,0.214912,0,0,0,4,0,0,0,0,0,0,256492,0.9277476413818561,276467.42342342343,2014,2015,0,0,1
