mod_id,id,sex,Country_fatefile,territory,Revir_Vinter,Autumn,Spring,Fate,confirmed.illegal,Radio.collar,Comment,geometry,NAME_1,NAME_2,KommunerNamn,SLU.ID,ruggedness_mean,average_gravel_km,average_paved_km,artificial_area_total,pop_mean,mean_snow,hunt_afo,hunt_county2,Fi,number_neighbour_terr,bear_density_BZtiff,mean_fi,max_fi,wolfLKill_cumall,wolfLKill_last5y,wolfLKill_n,NoAffectedSheep_cumall,NoAffectedSheep_last5y,NoAffectedSheep,sheepAttacks_n,AttackDogs_cumall,AttackDogs_last5y,AttackDogs_n,IndividualIncome,income_prop,year_average,first_yeardet,last_yeardet,years_firstdet,time_start,time_end
1440,G26-09,M,S,Glaskogen 2,Glaskogen_0809,2008,2009,NA,NA,0,NA,"c(12.3759439310724, 59.3719719854458)",Värmland,Årjäng,årjäng,G26-09,0.407,1.09,0.22,0.00122,11.9,66.9086021505376,NA,3.2,0.305908,0,2e-8,0.288208,0.305908,0,0,0,6,6,0,0,4,3,1,210856,0.8293059160091258,254255.993993994,2008,2010,0,0,1
1441,G7-09,F,S,Glaskogen 2,Glaskogen_0809,2008,2009,NA,NA,0,NA,"c(12.3759439310724, 59.3719719854458)",Värmland,Årjäng,årjäng,G7-09,0.407,1.09,0.22,0.00122,11.9,66.9086021505376,NA,3.2,0.270508,0,2e-8,0.288208,0.305908,0,0,0,6,6,0,0,4,3,1,210856,0.8293059160091258,254255.993993994,2008,2010,0,0,1
1647,G2-07,F,S,Djurskog 2,Djurskog_0506,2005,2006,illegal,NA,0,NA,"c(11.9208974153891, 59.5802594489178)",Värmland,Årjäng,årjäng,G2-07,0.358,1.21,0.28,0,8.615,77.2070707070707,NA,3.8,0.235352,1,0,0.2524415,0.269531,0,0,0,1,1,1,1,2,2,1,212288,0.8723944104780471,243339.47747747749,2005,2005,0,0,1
1648,G3-07,M,S,Djurskog 2,Djurskog_0506,2005,2006,censored,NA,0,NA,"c(11.9208974153891, 59.5802594489178)",Värmland,Årjäng,årjäng,G3-07,0.358,1.21,0.28,0,8.615,77.2070707070707,NA,3.8,0.269531,1,0,0.2524415,0.269531,0,0,0,1,1,1,1,2,2,1,212288,0.8723944104780471,243339.47747747749,2005,2005,0,0,1
1699,M-02-09,F,S,Djurskog 1,Djurskog_0405,2004,2005,illegal,1,1,NA,list(),Värmland,Årjäng,årjäng,M-02-09,0.346,1.21,0.31,0,8.845,78.6302083333333,NA,4.2,0.234375,1,0,0.2109375,0.234375,0,0,0,0,0,0,0,1,1,0,206714,0.8674630006898545,238297.1951951952,2002,2004,2,2,3
1700,M-03-06,M,S,Djurskog 1,Djurskog_0405,2004,2005,censored,NA,1,NA,list(),Värmland,Årjäng,årjäng,M-03-06,0.346,1.21,0.31,0,8.845,78.6302083333333,NA,4.2,0.1875,1,0,0.2109375,0.234375,0,0,0,0,0,0,0,1,1,0,206714,0.8674630006898545,238297.1951951952,2002,2004,2,2,3
1829,G1-02,M,S,Glaskogen 1,Glaskogen_0102,2001,2002,illegal,NA,0,NA,list(),Värmland,Årjäng,säffle,G1-02,0.441,1.22,0.28,7.5e-4,14.92,76.1197916666667,NA,5.3,0.125,0,0,0.1796875,0.234375,0,0,0,0,0,0,0,0,0,0,195491,0.8727039505245809,224006.0903614458,1999,2001,2,2,3
1830,M-02-12,F,S,Glaskogen 1,Glaskogen_0102,2001,2002,censored,NA,1,NA,list(),Värmland,Årjäng,säffle,M-02-12,0.441,1.22,0.28,7.5e-4,14.92,76.1197916666667,NA,5.3,0.234375,0,0,0.1796875,0.234375,0,0,0,0,0,0,0,0,0,0,195491,0.8727039505245809,224006.0903614458,1999,2001,2,2,3
53,G122-14,M,S,Kymmen 1,Kymmen_1920,2019,2020,illegal,NA,0,NA,list(),Värmland,Arvika,NA,G122-14,0.397,1.39,0.36,0,11.008,81.78125,57.6,2.4,0.214123,3,6.91e-5,0.183142,0.214123,7,5,0,22,15,0,0,12,3,0,284456,0.9360719744488821,303882.6156156156,2018,2019,1,1,2
54,G25-18,F,S,Kymmen 1,Kymmen_1920,2019,2020,NA,NA,0,NA,list(),Värmland,Arvika,NA,G25-18,0.397,1.39,0.36,0,11.008,81.78125,57.6,2.4,0.152161,3,6.91e-5,0.183142,0.214123,7,5,0,22,15,0,0,12,3,0,284456,0.9360719744488821,303882.6156156156,2018,2019,1,1,2
185,G122-14,M,S,Kymmen 1,Kymmen_1819,2018,2019,NA,NA,0,NA,"c(12.9132670813251, 59.6827792257405)",Värmland,Arvika,arvika,G122-14,0.393,1.33,0.35,2.9e-4,11.05,83.140625,41.4,2.2,0.214123,3,3.47e-5,0.183142,0.214123,7,5,2,22,15,0,0,12,3,1,281119,0.9333701492872741,301187.04804804805,2018,2019,0,0,1
