"fate","id","Spring","terrRug","humPop","fi","mooseHunt","wolfNeighbour","dogattack","artificial_area_total","killedWolves","sheepAttacks","IncAvg1998_2021","bearDensity","humPop2"
"1","G13-16",2020,1.1496221684196,-0.223401826492258,-0.352519862743096,-0.0378318100677131,1.6180562211063,-0.0917018594933137,-0.593058308082963,-0.378638557093776,-0.364731895932789,NA,-0.671791029607093,0.049908376080077
"1","G77-14",2020,1.44989597942231,0.419170547210512,0.627943311683074,-0.0378318100677131,0.499347151679163,-0.701490020709998,-0.410419736882732,-0.594099305788854,-0.685523892018578,NA,-0.672067547639733,0.17570394764876
"1","G6-12",2020,1.44989597942231,0.419170547210512,-2.82863335990538,-0.0378318100677131,0.499347151679163,-0.701490020709998,-0.410419736882732,-0.594099305788854,-0.685523892018578,NA,-0.672067547639733,0.17570394764876
"1","G302-17",2020,-0.818839481487009,0.628834030454259,-0.154739075230543,-1.35437880042414,1.05870168639273,-0.549042980405827,1.02430770576797,-0.0195373092686469,-0.92611788908292,NA,-0.398426326679909,0.395432237857348
"1","G27-19",2020,-0.930052004080604,-0.0915257259945286,-0.349874609338466,-1.35437880042414,1.05870168639273,-0.549042980405827,0.0461766911178446,-0.0195373092686469,-0.92611788908292,NA,-0.387122883990097,0.00837695851882552
"0","G151-15",2020,-0.896688247302525,-0.575894574726902,-0.0164524415639456,-0.0378318100677131,-1.17871645246154,0.822980382331713,-0.593058308082963,0.195923439426431,0.517446093303131,NA,2.92659548102735,0.331654561199879
"1","G122-14",2020,1.49438098845975,-0.227066157886336,-0.254044292816182,-0.36696855765682,0.499347151679163,-0.167925379645399,-0.593058308082963,-0.234998057963725,-0.364731895932789,NA,-0.606717119259113,0.0515590400572623
"0","G132-11",2020,-0.80771822922765,-0.363881139828257,-0.838356722140761,-1.35437880042414,2.73676529053344,-0.549042980405827,-0.290690006873692,-0.0195373092686469,-0.92611788908292,NA,-0.290889487927019,0.132409483922711
"0","G230-19",2020,-1.07462828345228,-0.428524725182475,-0.722121882765489,-0.0378318100677131,1.05870168639273,2.04255670476508,-0.39824383213605,0.052282940296379,0.437248094281684,NA,3.09055838469261,0.183633440092715
"1","G224-19",2020,-0.518565670484306,-0.462618939023023,0.00409636783838587,-0.0378318100677131,-0.619361917747975,2.42367430552551,-0.406361101967171,0.339563938556483,2.60259406786076,NA,-0.195889157461343,0.214016282742788
"1","G246-17",2020,1.30531970005064,-0.406618396196141,-0.793447533657608,-0.0378318100677131,-0.619361917747975,2.42367430552551,-0.0268787373622477,0.339563938556483,2.60259406786076,NA,-0.512387601057805,0.165338520125122
"0","G171-17",2020,-1.16359830152715,-0.109887212653983,-0.722121882765489,-0.202400183862267,0.499347151679163,2.04255670476508,-0.593058308082963,0.052282940296379,0.437248094281684,NA,2.94835847433699,0.0120751995048617
"0","G38-19",2020,-0.218291859481602,-0.610745552659706,0.00830472552757042,-1.35437880042414,-1.17871645246154,-0.167925379645399,-0.593058308082963,3.85875616724275,-0.92611788908292,NA,-0.419258375946328,0.373010130093609
"1","G123-14",2020,-0.663141949855978,-0.00234705217561699,-0.254044292816182,-0.531536931451374,-1.17871645246154,-1.00638410131834,0.0461766911178446,-0.737739804918906,-0.444929894954236,NA,-0.677485252797757,5.50865391506847e-06
"1","G319-17",2020,-0.451838156928149,2.01582329280172,-0.154739075230543,-1.02524205283503,1.05870168639273,-0.853937061014169,0.31810523046041,-0.522279056223828,-0.124137898868447,NA,-0.666219703319825,4.06354354780196
"1","G166-14",2020,-0.607535688559181,1.09097791268777,-0.933934537201694,-0.531536931451374,0.499347151679163,-0.549042980405827,1.54990092733308,-0.450458806658802,-0.204335897889894,NA,-0.677485252797757,1.19023280597256
"1","G181-19",2020,1.08289465486345,0.554073704077262,-1.21694057985979,-0.0378318100677131,-0.0600073830344059,0.441862781571285,-0.593058308082963,-0.0913575588336728,0.116456098195895,NA,-0.670920509874708,0.306997669549897
"1","G166-16",2019,-0.607535688559181,-0.466203611038969,-0.127961896448219,-0.696105305245927,0.499347151679163,2.42367430552551,-0.524061514518431,0.339563938556483,2.60259406786076,-0.661174247402136,-0.262311861324091,0.217345806945774
"1","G117-15",2019,1.03840964582601,0.550090735170656,-0.127961896448219,-0.531536931451374,1.6180562211063,0.441862781571285,-0.440859498749437,-0.0913575588336728,0.116456098195895,-1.14614377966868,-0.623717857562173,0.302599816920592
"1","G29-18",2019,0.0374969424836643,-0.460308817057192,-0.340303601565349,-0.696105305245927,0.499347151679163,2.42367430552551,-0.479416530447264,0.339563938556483,2.60259406786076,-0.661174247402136,-0.426278861552803,0.211884207060591
"1","G195-17",2019,-1.21920456282395,-0.590113773723486,0.0959708281328363,-0.36696855765682,-1.17871645246154,0.3656392614192,-0.142549832455727,-0.809560054483932,0.517446093303131,0.316983620927554,0.72921011386315,0.348234265938173
"1","G12-16",2019,-2.55375483394708,0.91441290105792,-0.0460191603002438,0.455873311315947,-1.17871645246154,-1.15883114162251,5.32646071626229,-0.809560054483932,-0.92611788908292,1.14577244414854,0.0666585696853032,0.836150953621161
"1","G13-16",2019,1.24971343875384,-0.222087446753078,-0.352519862743096,-0.531536931451374,0.499347151679163,-0.0917018594933137,-0.497680387567287,-0.378638557093776,-0.364731895932789,-0.743506545210411,-0.677485009052232,0.0493228340053013
"1","G11-11",2019,0.771499591601384,-0.323374346048072,0.321178083899759,-1.18981042662959,0.499347151679163,-0.701490020709998,-0.503768339940628,-0.809560054483932,-0.92611788908292,NA,-0.549529093545685,0.104570967682018
"1","G113-17",2019,-0.273898120778399,1.02326744127547,0.109822336869809,-0.531536931451374,1.6180562211063,-1.00638410131834,2.61732191012554,-0.737739804918906,0.0362580991744474,0.164452880940494,-0.677485218181796,1.04707625637444
"1","G254-17",2019,1.98371608787156,-0.0929595948009068,-0.205059009314076,-0.202400183862267,-0.0600073830344059,-1.08260762147043,0.585975134887415,-0.737739804918906,-0.685523892018578,-0.470623024517922,-0.677485252797757,0.00864148626554877
