"fate","id","Spring","terrRug","humPop","fi","mooseHunt","wolfNeighbour","dogattack","artificial_area_total","killedWolves","sheepAttacks","IncAvg1998_2021","bearDensity"
"0","G204-17",2018,0.355,6.567,0.233883,2,2,47,0.00056,16,44,233516.125,0.000301444
"1","G112-17",2018,0.127,5.6,0.125,2.4,3,21,0.00179,2,12,234002,0.002553405
"0","G125-16",2018,0.22,2.9,0,2,4,47,0,16,44,233516.125,0.000464143
"1","G107-16",2017,0.353,149.427,0.3106,2.1,3,14,0.00149,7,0,NA,7.4e-06
"1","G73-15",2017,0.225,2.7,0.214912,1.9,2,47,0.00092,16,44,233516.125,0.000488002
"1","G48-14",2017,0.277,18,0.205505,2.3,8,6,0.00293,13,4,259731.416666667,2.06e-05
"0","G116-14",2017,0.199,10.5,0.296997,2.9,2,15,0.00121,12,10,240807.208333333,0.002214292
"0","G146-16",2017,0.355,30.02,0.214912,1.8,5,21,0.00227,10,13,228473.458333333,3.17e-06
"1","G49-16",2017,0.331,10.75,0.299316,2.2,4,7,1e-05,8,8,229955.125,0.000194455
"0","G30-16",2017,0.205,1,0.228912,2.2,0,6,0.00503,28,8,234749.541666667,0.001409138
"1","G61-14",2017,0.035,39.7,0.222382,2.9,0,4,0.02939,4,0,252304.583333333,0.000263776
"1","G27-12",2017,0.366,11.525,0.261963,1.8,1,13,4e-05,8,7,243939.916666667,0
"0","G130-14",2017,0.192,2.5,0.26416,2.4,0,1,0.00032,6,2,231850.166666667,0.000615432
"1","G11-13",2017,0.325,10.275,0.165527,2.2,5,7,0.00085,6,3,232725.375,2.98e-05
"1","G65-16",2017,0.241,12.54,0.336578,2.3,6,1,0.00592,3,8,221662.166666667,3.91e-05
"1","G16-12",2017,0.325,1.699,0,1.8,1,7,0.0011,21,0,NA,0.000208765
"1","G148-15",2017,0.195,5.132,0.273621,1.8,5,47,0.00061,16,44,233516.125,0.000301059
"1","G125-15",2017,0.178,5.167,0.067337,2.7,1,42,0,12,17,241579.958333333,0.002574429
"0","G74-12",2017,0.284,23.283,0.152161,2.2,3,7,0.00132,6,3,232725.375,0
"1","G180-13",2017,0.165,15.567,0.296997,2.2,4,21,6e-04,2,12,234002,0.002337781
"0","G41-12",2017,0.361,6.8,0.35199,1.8,5,21,0.00158,10,13,228473.458333333,8.45e-06
"0","G103-15",2017,0.312,11.967,0.222382,2.2,3,6,0.00026,2,2,254517.625,0.000281592
"1","G12-09",2017,0.372,13.333,0.305908,1.8,5,21,0.00331,4,9,238039.5,2.2e-05
"1","G2-16",2017,0.325,13.319,0.139008,2,4,11,0,0,0,NA,7.85e-06
"1","G155-15",2017,0.256,6.725,0.224609,2.2,0,10,0,1,3,255224.791666667,0.001292397
"1","G48-16",2017,0.216,3.34,0.243027,2.3,0,9,0,42,3,233970.166666667,0.00258794
"1","M-10-07",2017,0.268,30.14,0.429688,2.2,3,9,0.00195,16,11,251975.083333333,0.000439757
"1","G15-16",2017,0.146,4.85,NA,2.2,1,12,0.00213,2,20,230253.166666667,0.002626791
"1","G157-14",2017,0.173,6.001,0.224609,1.8,3,9,0.00061,4,0,NA,0.000355536
"1","G24-12",2017,0.351,6.6,0.165527,1.8,3,47,0.00172,16,44,233516.125,0.000125246
"0","G71-16",2017,0.22,5.252,0.317108,1.8,5,47,0,16,44,233516.125,0.000210528
"1","G113-15",2016,0.407,28.614,0.224609,1.9,6,18,0.00468,9,18,241293.666666667,6.55e-06
"1","G57-16",2016,0.171,1.893,0.222382,2.3,0,20,0.01323,0,18,243686.916666667,0.001122275
"1","G13-10",2016,0.382,11.045,0.274902,1.9,4,13,9e-04,8,7,243939.916666667,7.19e-05
"1","G103-16",2016,0.382,11.045,0.27356,1.9,4,13,9e-04,8,7,243939.916666667,7.19e-05
"0","G128-15",2016,0.188,2.567,0.222382,2.7,0,3,0,4,0,230602.541666667,0.000689397
"1","G17-15",2016,0.195,3.239,0.275726,2,3,47,0.00061,16,44,233516.125,0.00055236
"1","G20-13",2016,0.38,10.413,0.152161,1.9,6,47,0.00052,16,44,233516.125,0.000136365
"1","G20-15",2016,0.292,31.425,0.286682,1.9,4,8,0.00266,2,3,262256.958333333,0
"1","G139-15",2016,0.224,2.7,0.222382,2,2,47,0.00092,16,44,233516.125,0.000529914
"0","G1-11",2016,0.303,10.95,0.267334,2.3,7,9,0.00309,16,11,251975.083333333,0.0003746
"1","G200-13",2016,0.242,11.733,0.27356,2.3,5,7,0.00187,8,8,229955.125,0.000758981
"1","G62-16",2016,0.43,13,0.198181,1.9,3,13,0.00513,8,7,243939.916666667,2.45e-05
"1","G153-14",2016,0.268,9.275,0.298141,2.3,1,13,0.00051,8,13,250727.041666667,0.001664957
