"mod_id","id","sex","Country_fatefile","territory","Revir_Vinter","Autumn","Spring","Fate","confirmed.illegal","Radio.collar","Comment","geometry","NAME_1","NAME_2","KommunerNamn","SLU.ID","ruggedness_mean","average_gravel_km","average_paved_km","artificial_area_total","pop_mean","mean_snow","hunt_afo","hunt_county2","Fi","number_neighbour_terr","bear_density_BZtiff","mean_fi","max_fi","wolfLKill_cumall","wolfLKill_last5y","wolfLKill_n","NoAffectedSheep_cumall","NoAffectedSheep_last5y","NoAffectedSheep","sheepAttacks_n","AttackDogs_cumall","AttackDogs_last5y","AttackDogs_n","IndividualIncome","income_prop","year_average","first_yeardet","last_yeardet","years_firstdet","time_start","time_end","Fate_binary","ruggedness_mean_sc","average_gravel_km_sc","average_paved_km_sc","artificial_area_total_sc","pop_mean_sc","mean_snow_sc","hunt_afo_sc","hunt_county2_sc","bear_density_BZtiff_sc","Fi_sc","mean_fi_sc","max_fi_sc","IndividualIncome_sc","income_prop_sc"
1748,"M-05-02","M","S","Amungen 1","Amungen_0304",2003,2004,NA,NA,1,NA,c(15.2466227560487, 15.2613914159802, 61.2386890494768, 61.0198658409603),"Dalarna","Rättvik","rättvik","M-05-02",0.153,1.04,0.12,0,12.933,82.50625,NA,3.5,0.28125,1,0.00133061,0.234375,0.28125,0,0,0,0,0,0,0,4,4,2,212311,0.909905269395658,233333.081081081,2003,2006,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1695,"M-05-02","M","S","Amungen 1","Amungen_0405",2004,2005,NA,NA,1,NA,c(15.6368881539651, 61.3511040010635),"Gävleborg","Ovanåker","rättvik","M-05-02",0.158,1.01,0.12,0,13.3,80.2447916666667,NA,3.2,0.28125,2,0.00125349,0.234375,0.28125,0,0,0,1,1,1,1,1,1,1,225427,0.945990991691476,238297.195195195,2003,2006,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1643,"M-05-02","M","S","Amungen 1","Amungen_0506",2005,2006,NA,NA,1,NA,c(15.5518678079961, 15.2614425995203, 15.0774422417646, 14.9254514732231, 61.003674828286, 61.2119614702446, 61.0614207124423, 60.9743839434029),"Dalarna","Rättvik","rättvik","M-05-02",0.157,1.01,0.12,0,13.3,83.53125,NA,2.9,0.28125,2,0.00143144,0.234375,0.28125,0,0,0,15,15,15,3,8,7,4,220889,0.907740093345292,243339.477477477,2003,2006,2,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1585,"M-05-02","M","S","Amungen 1","Amungen_0607",2006,2007,"illegal",NA,1,NA,c(15.3784131602033, 15.4985615513377, 15.6025610293887, 15.6511409968985, 15.6680522837716, 61.5300125139993, 61.3544508366238, 61.4569472119189, 61.4920084025135, 61.4884371403247),"Gävleborg","Ovanåker","ovanåker","M-05-02",0.16,1.01,0.12,0,13.3,84.4731182795699,NA,2.7,0.28125,1,0.00110111,0.234375,0.28125,0,0,0,40,40,0,0,11,11,5,236868,0.960842296566879,246521.204204204,2003,2006,3,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,"G87-17","F","S","Andån","Andån_1718",2017,2018,NA,NA,0,NA,list(),"Gävleborg","Ljusdal","ljusdal","G87-17",0.187,1.18,0.25,0.00033,8.2,83.859375,2.7,2.9,0.233883,2,0.00207999,0.15061,0.233883,2,2,0,48,29,0,0,17,8,0,262062,0.880470874589987,297638.465465465,2017,2019,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"G87-17","F","S","Andån","Andån_1819",2018,2019,NA,NA,0,NA,list(),"Gävleborg","Ljusdal","ljusdal","G87-17",0.188,1.18,0.26,0.00033,8.233,82.171875,2.6,3,0.233883,2,0.00319843,0.15061,0.233883,4,4,2,48,25,0,0,17,4,0,264917,0.879576335426409,301187.048048048,2017,2019,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"G87-17","F","S","Andån","Andån_1920",2019,2020,NA,NA,0,NA,c(16.0159246717567, 15.5215771720869, 15.5686808329458, 62.1031297042508, 62.0692934021934, 61.7196460726044),"Gävleborg","Ljusdal",NA,"G87-17",0.18,1.17,0.2,0,8.2,84.7150537634409,1.9,2.6,0.233883,2,0.00352884,0.15061,0.233883,4,2,0,49,24,1,1,20,6,3,268957,0.885068727788649,303882.615615616,2017,2019,2,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,"M-15-01/G140-13","F","S","Aspafallet 2","Aspafallet_1516",2015,2016,NA,NA,1,NA,list(),"Orebro","Lindesberg","köping","G140-13",0.235,1.17,0.38,0.0014,22.067,61.0050505050505,2.2,2.4,0.29248,3,2.07e-06,0.2949215,0.297363,6,5,4,52,24,0,0,3,3,0,267085,0.932769577705882,286335.453453453,2015,2016,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"M-15-01/G140-13","F","S","Aspafallet 2","Aspafallet_1617",2016,2017,NA,NA,1,NA,list(),"Orebro","Lindesberg","lindesberg","G140-13",0.235,1.21,0.39,0.00347,22.267,62.1333333333333,2.2,2.4,0.29248,5,3.6e-07,0.2949215,0.297363,6,5,0,52,24,0,0,3,3,0,274341,0.935995286927769,293100.834834835,2015,2016,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,"M-15-01/G140-13","F","S","Aspafallet 3","Aspafallet_1718",2017,2018,NA,NA,1,NA,list(),"Orebro","Lindesberg","lindesberg","G140-13",0.224,1.16,0.41,0.00028,27.45,61.1616161616162,1.8,2.2,0.29248,3,3.19e-06,0.260825,0.29248,6,4,0,53,13,1,1,3,1,0,281277,0.945029062557898,297638.465465465,2017,2019,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
