"";"mod_id";"id";"sex";"Country_fatefile";"territory";"Revir_Vinter";"Autumn";"Spring";"Fate";"Fate_binary";"confirmed.illegal";"Radio.collar";"Comment";"geometry";"NAME_1";"NAME_2";"KommunerNamn";"SLU.ID";"ruggedness_mean";"average_gravel_km";"average_paved_km";"artificial_area_total";"pop_mean";"mean_snow";"hunt_afo";"hunt_county2";"Fi";"number_neighbour_terr";"bear_density_BZtiff";"mean_fi";"max_fi";"wolfLKill_cumall";"wolfLKill_last5y";"wolfLKill_n";"NoAffectedSheep_cumall";"NoAffectedSheep_last5y";"NoAffectedSheep";"sheepAttacks_n";"AttackDogs_cumall";"AttackDogs_last5y";"AttackDogs_n";"IndividualIncome";"income_prop";"year_average";"first_yeardet";"last_yeardet";"years_firstdet";"time_start";"time_end";"ruggedness_mean_sc";"average_gravel_km_sc";"average_paved_km_sc";"artificial_area_total_sc";"pop_mean_sc";"mean_snow_sc";"hunt_afo_sc";"hunt_county2_sc";"bear_density_BZtiff_sc";"Fi_sc";"mean_fi_sc";"max_fi_sc";"IndividualIncome_sc";"income_prop_sc"
"582";532;"G157-14";"F";"N";"Varåa 1";"Varåa_1617";2016;2017;"illegal";1;NA;0;NA;"list()";"Hedmark";"Trysil";"trysil";"G157-14";0,173;1,12;0,26;0,00061;6,001;79,9636363636364;330,8;1,8;0,224609;3;0,00035554;0,2560425;0,287476;0;0;0;0;0;0;0;0;0;0;356100;1,21494024471362;293100,834834835;2015;2016;1;1;2;-1,10478001318677;-0,341611547229849;-0,390453007113493;-0,445748789806348;-0,433222375875179;0,362023436639925;2,72787096356681;-1,3383133844318;-0,275412517476034;-0,102484384124848;0,33423874943428;0,144236400586597;1,6842076717117;1,53404687242892
"583";381;"G154-15";"M";"N";"Varåa 2";"Varåa_1718";2017;2018;NA;0;NA;0;NA;"list()";"Hedmark";"Trysil";"trysil";"G154-15";0,172;1,15;0,33;0;6,007;86,3585858585859;405,1;1,8;0,22917;4;0,00043179;0,233593;0,238016;0;0;0;0;0;0;0;0;0;0;377400;1,26798127187559;297638,465465465;2017;2019;0;0;1;-1,1163329389025;-0,218493313703523;-0,00799969107861122;-0,555639846301678;-0,433049648781135;1,08778252158733;3,44611352450353;-1,3383133844318;-0,198328521084541;-0,0543643948708354;0,0170562971887296;-0,508702442984986;2,09903898383814;1,8879102750115
"584";243;"G154-15";"M";"N";"Varåa 2";"Varåa_1819";2018;2019;NA;0;NA;0;NA;"list()";"Hedmark";"Trysil";"trysil";"G154-15";0,172;1,13;0,35;0;5,976;83,9343434343434;418,9;1,9;0,22917;2;0,00060001;0,233593;0,238016;0;0;0;0;0;0;0;0;0;0;390500;1,29653649627624;301187,048048048;2017;2019;1;1;2;-1,1163329389025;-0,300572136054408;0,101272684931355;-0,555639846301678;-0,433942072100366;0,812656664080805;3,57951523837872;-1,18581122028462;-0,0282685883241876;-0,0543643948708354;0,0170562971887296;-0,508702442984986;2,35416997862013;2,07841655681985
"585";115;"G154-15";"M";"N";"Varåa 2";"Varåa_1920";2019;2020;NA;0;NA;0;NA;"list()";"Hedmark";"Trysil";NA;"G154-15";0,172;1,15;0,34;0;5,997;85,359375;422,9;2;0,22917;4;0,00087007;0,233593;0,238016;2;2;2;0;0;0;0;0;0;0;403800;1,32880256799807;303882,615615616;2017;2019;2;2;3;-1,1163329389025;-0,218493313703523;0,0466364969263719;-0,555639846301678;-0,433337527271209;0,974382664564296;3,6181824018208;-1,03330905613744;0,244745235485473;-0,0543643948708354;0,0170562971887296;-0,508702442984986;2,61319610309345;2,29367976981519
"586";1416;"G16-09";"M";"N";"VaråaHöljes  1";"Varåa-Höljes_0910";2009;2010;NA;0;NA;0;NA;"list()";"Hedmark";"Trysil";"trysil";"G16-09";0,172;1,07;0,28;0,00061;5,848;86,6089931573803;NA;3,1;0,269531;1;0,00021347;0,1347655;0,269531;0;0;0;0;0;0;0;0;0;0;280500;1,08353452438436;258875;2009;2009;0;0;1;-1,1163329389025;-0,546808603107061;-0,281180631103526;-0,445748789806348;-0,437626916773319;1,1162010997451;NA;0,64421474948155;-0,419036430490322;0,37145689131228;-1,37924868952799;-0,0926618514937114;0,211848648389662;0,657373138857915
"587";1310;"G16-10";"F";"N";"VaråaHöljes  2";"Varåa-Höljes_1011";2010;2011;"illegal";1;NA;0;NA;"list()";"Hedmark";"Trysil";"trysil";"G16-10";0,171;1,11;0,31;0;5,873;83,09375;NA;3,2;0;3;0,00045356;0,1347655;0,269531;0;0;0;0;0;0;0;0;0;0;288300;1,12007766863064;257392,864864865;2010;2010;0;0;1;-1,12788586461823;-0,382650958405291;-0,117272067088577;-0,555639846301678;-0,436907220548132;0,717258205937597;NA;0,796716913628731;-0,176320408278734;-2,47218021099493;-1,37924868952799;-0,0926618514937114;0,363758706351459;0,90117085651087
"588";245;"G319-17";"M";"S";"Venabäcken";"Venabäcken_1819";2018;2019;NA;0;NA;0;NA;"list()";"Västmanland";"Surahammar";"köping";"G319-17";0,216;1,3;0,43;0,00406;66,74;81,65625;1,3;1,9;0,222382;3;1,13e-06;0,2289605;0,235539;3;3;3;32;26;0;0;4;1;0;287007;0,952919462706159;301187,048048048;2018;2019;0;0;1;-0,608004207410312;0,397097853928112;0,538362188971219;0,175766201847569;1,3153227849881;0,554117170119278;-0,457336624974885;-1,18581122028462;-0,633698932703694;-0,125979936869572;-0,0483949471609221;-0,541402190569434;0,338576692897023;-0,214025712692175
"589";117;"G319-17";"M";"S";"Venabäcken";"Venabäcken_1920";2019;2020;"illegal";1;NA;0;NA;"list()";"Västmanland";"Skinnskatteberg";NA;"G319-17";0,222;1,28;0,42;0,00449;67,32;60,3888888888889;2;2;0,222382;4;1,1e-05;0,2289605;0,235539;1;1;0;57;4;4;1;4;1;0;269451;0,886694355496898;303882,615615616;2018;2019;1;1;2;-0,538686653115923;0,315019031577227;0,483726000966236;0,25323038921313;1,33201973741241;-1,85950322695127;-0,45056987137252;-1,03330905613744;-0,623720978023248;-0,125979936869572;-0,0483949471609221;-0,541402190569434;-0,00333779140776035;-0,655846752505415
"590";383;"G147-15";"F";"S";"Vidaln 1";"Vidaln_1718";2017;2018;NA;0;NA;0;NA;"c(15.7349008937808, 59.4404396800716)";"Västmanland";"Arboga";"arboga";"G147-15";0,209;1,45;0,52;0,00857;43,633;55,2760416666667;1,9;2,2;0,319611;2;5,7e-07;0,308487;0,319611;0;0;0;0;0;0;0;1;1;1;274870;0,923502947007005;297638,465465465;2017;2018;0;0;1;-0,688874687420433;1,01268902155975;1,03008788101607;0,98823942282124;0,650121957973036;-2,43975727343067;-0,451536550458573;-0,728304727843079;-0,634265057791946;0,899816694390757;1,07521182753365;0,568461829987583;0,102200747578775;-0,410278102481667
"591";247;"G147-15";"F";"S";"Vidaln 1";"Vidaln_1819";2018;2019;NA;0;NA;0;NA;"list()";"Västmanland";"Köping";"köping";"G147-15";0,213;1,38;0,5;0,00782;44,2;76,530303030303;1,4;2;0,319611;2;0;0,308487;0,319611;3;2;2;8;0;0;0;4;3;0;283695;0,941922973908036;301187,048048048;2017;2018;1;1;2;-0,642662984557507;0,72541314333165;0,920815505006101;0,853127468113867;0,666444668360258;-0,0276235590536911;-0,456369945888833;-1,03330905613744;-0,634841292256775;0,899816694390757;1,07521182753365;0,568461829987583;0,274073345208629;-0,287388827073088
